avg_ut,avg_ut_speed,avg_ut_in,avg_ut_out,n_accidents,n_fat_in,n_fat_out,n_inj_in,n_inj_out,trip_duration,crashes,skids
0.4795499999999999,1.6185,0.0,-0.03,37.0,0.0,0.0,0.0,1.0,357.27045373347624,0.0,2.0
0.5120999999999999,1.707,0.0,0.0,26.0,0.0,0.0,0.0,0.0,353.2320734722713,0.0,1.0
0.4127499999999999,1.5825,0.0,-0.31,42.0,0.0,1.0,0.0,7.0,358.1661891117479,0.0,8.0
0.46434999999999993,1.6545,0.0,-0.16,34.0,0.0,1.0,0.0,2.0,354.48422545196735,0.0,3.0
0.4756499999999999,1.6455,0.0,-0.09,36.0,0.0,0.0,0.0,3.0,352.98270384751146,0.0,0.0
0.4487999999999999,1.596,0.0,-0.15,44.0,0.0,0.0,0.0,5.0,353.4817956875221,0.0,0.0
0.4397999999999999,1.566,0.0,-0.15,46.0,0.0,0.0,0.0,5.0,356.3791874554526,0.0,6.0
0.40369999999999995,1.539,0.0,-0.29,47.0,0.0,2.0,0.0,3.0,359.84166966534724,0.0,5.0
0.4059499999999999,1.6065,0.0,-0.38,38.0,0.0,2.0,0.0,6.0,357.5259206292456,0.0,1.0
0.44299999999999995,1.65,0.0,-0.26,34.0,0.0,2.0,0.0,2.0,354.7357218871941,0.0,3.0
0.4852499999999999,1.6575,0.0,-0.06,36.0,0.0,0.0,0.0,2.0,351.6174402250352,0.0,1.0
0.4654499999999999,1.6515,0.0,-0.15,36.0,0.0,0.0,0.0,5.0,353.35689045936397,0.0,1.0
0.42424999999999996,1.5675,0.0,-0.23,45.0,0.0,2.0,0.0,1.0,357.14285714285717,0.0,5.0
0.5035499999999999,1.6785,0.0,0.0,34.0,0.0,0.0,0.0,0.0,350.50823694356814,0.0,3.0
0.4122499999999999,1.6275,-0.1,-0.13,35.0,1.0,1.0,0.0,1.0,357.27045373347624,0.0,5.0
0.47605,1.6935,0.0,-0.16,27.0,0.0,1.0,0.0,2.0,354.6099290780142,0.0,4.0
0.49769999999999986,1.659,0.0,0.0,34.0,0.0,0.0,0.0,0.0,353.73187124159887,0.0,2.0
0.47189999999999993,1.593,0.0,-0.03,41.0,0.0,0.0,0.0,1.0,356.887937187723,0.0,1.0
0.4661999999999999,1.614,0.0,-0.09,40.0,0.0,0.0,0.0,3.0,354.7357218871941,0.0,4.0
0.47819999999999996,1.614,0.0,-0.03,39.0,0.0,0.0,0.0,1.0,355.99857600569595,0.0,3.0
0.42994999999999994,1.6065,0.0,-0.26,39.0,0.0,2.0,0.0,2.0,357.14285714285717,0.0,4.0
0.4160499999999999,1.5735,0.0,-0.28,47.0,0.0,1.0,0.0,6.0,354.7357218871941,0.0,1.0
