avg_ut,avg_ut_speed,avg_ut_in,avg_ut_out,n_accidents,n_fat_in,n_fat_out,n_inj_in,n_inj_out,trip_duration,crashes,skids
1.3550000000000002,1.74,-0.09,-0.19,42.0,0.0,1.0,3.0,3.0,334.5600535296086,4.0,10.0
1.2299,1.632,-0.16,-0.39,60.0,1.0,3.0,2.0,3.0,334.5600535296086,5.0,15.0
1.2470000000000003,1.683,-0.06,-0.52,52.0,0.0,4.0,2.0,4.0,334.1129301703976,3.0,16.0
1.2866000000000002,1.668,-0.03,-0.25,54.0,0.0,1.0,1.0,5.0,334.5600535296086,1.0,10.0
1.2104000000000001,1.581,-0.12,-0.28,68.0,0.0,1.0,4.0,6.0,334.8961821835231,0.0,21.0
1.2622000000000002,1.647,-0.03,-0.29,57.0,0.0,2.0,1.0,3.0,335.00837520938023,3.0,15.0
1.3216,1.7145,-0.06,-0.26,46.0,0.0,2.0,2.0,2.0,334.7840642785403,4.0,12.0
1.2853,1.6605,-0.13,-0.22,56.0,1.0,1.0,1.0,4.0,333.889816360601,5.0,11.0
1.2728000000000002,1.644,-0.06,-0.22,57.0,0.0,1.0,2.0,4.0,335.4579000335458,4.0,10.0
1.2917000000000003,1.686,-0.2,-0.29,51.0,2.0,2.0,0.0,3.0,334.5600535296086,0.0,7.0
1.3353000000000002,1.698,-0.03,-0.12,49.0,0.0,0.0,1.0,4.0,334.5600535296086,2.0,6.0
1.2819,1.7025,-0.03,-0.42,48.0,0.0,3.0,1.0,4.0,334.7840642785403,3.0,10.0
1.2974,1.7385,-0.03,-0.49,42.0,0.0,4.0,1.0,3.0,334.7840642785403,2.0,6.0
1.2663000000000002,1.704,0.0,-0.51,49.0,0.0,3.0,0.0,7.0,333.66700033366703,3.0,12.0
1.2509000000000001,1.6665,-0.06,-0.43,54.0,0.0,1.0,2.0,11.0,334.67202141900935,1.0,9.0
1.3164,1.689,-0.06,-0.18,50.0,0.0,0.0,2.0,6.0,335.00837520938023,1.0,7.0
1.3557000000000003,1.731,-0.06,-0.15,44.0,0.0,0.0,2.0,5.0,334.1129301703976,7.0,7.0
1.3259,1.7175,-0.06,-0.25,46.0,0.0,1.0,2.0,5.0,334.2245989304813,1.0,7.0
1.3064,1.6995,0.0,-0.28,49.0,0.0,1.0,0.0,6.0,334.33634236041456,0.0,10.0
1.3251000000000002,1.7415,-0.16,-0.35,42.0,1.0,2.0,2.0,5.0,334.33634236041456,3.0,8.0
1.2595,1.659,-0.12,-0.35,56.0,0.0,2.0,4.0,5.0,334.1129301703976,2.0,16.0
1.3287,1.7115,-0.06,-0.21,47.0,0.0,0.0,2.0,7.0,334.33634236041456,4.0,8.0
1.3864,1.782,-0.31,-0.19,35.0,1.0,1.0,7.0,3.0,334.5600535296086,1.0,11.0
1.2755999999999998,1.638,-0.06,-0.18,58.0,0.0,0.0,2.0,6.0,335.4579000335458,4.0,16.0
1.3379,1.689,-0.19,-0.06,50.0,1.0,0.0,3.0,2.0,335.00837520938023,1.0,12.0
1.3214000000000001,1.6815,-0.1,-0.12,52.0,1.0,0.0,0.0,4.0,334.2245989304813,1.0,11.0
1.2792000000000003,1.692,-0.03,-0.39,50.0,0.0,3.0,1.0,3.0,334.44816053511704,3.0,10.0
1.2602,1.6425,-0.06,-0.28,58.0,0.0,1.0,2.0,6.0,334.7840642785403,5.0,8.0
1.3538000000000001,1.722,-0.1,-0.12,45.0,1.0,0.0,0.0,4.0,334.5600535296086,2.0,7.0
1.3393000000000002,1.758,-0.06,-0.35,39.0,0.0,2.0,2.0,5.0,334.44816053511704,3.0,5.0
1.2944,1.6845,0.0,-0.28,51.0,0.0,1.0,0.0,6.0,334.67202141900935,2.0,10.0
1.2637000000000003,1.6545,-0.1,-0.31,56.0,1.0,1.0,0.0,7.0,334.67202141900935,2.0,7.0
1.2163000000000002,1.596,-0.16,-0.31,66.0,1.0,1.0,2.0,7.0,334.5600535296086,3.0,18.0
1.2982,1.692,-0.03,-0.29,50.0,0.0,2.0,1.0,3.0,334.44816053511704,2.0,14.0
1.3751000000000004,1.7415,-0.1,-0.09,41.0,1.0,0.0,0.0,3.0,335.1206434316354,0.0,14.0
1.3407000000000002,1.719,-0.03,-0.18,46.0,0.0,0.0,1.0,6.0,334.1129301703976,2.0,3.0
1.2085,1.5795,-0.19,-0.28,69.0,1.0,1.0,3.0,6.0,334.33634236041456,2.0,16.0
1.3451000000000004,1.6905,-0.16,-0.03,50.0,1.0,0.0,2.0,1.0,334.7840642785403,2.0,9.0
1.3751000000000002,1.7415,-0.1,-0.09,42.0,1.0,0.0,0.0,3.0,334.33634236041456,4.0,10.0
1.2818000000000003,1.641,-0.06,-0.16,56.0,0.0,1.0,2.0,2.0,336.58700774150117,3.0,14.0
1.3479,1.7355,-0.06,-0.21,43.0,0.0,0.0,2.0,7.0,334.33634236041456,1.0,5.0
1.3715000000000002,1.737,-0.1,-0.09,42.0,1.0,0.0,0.0,3.0,335.00837520938023,4.0,9.0
