avg_ut,avg_ut_speed,avg_ut_in,avg_ut_out,n_accidents,n_fat_in,n_fat_out,n_inj_in,n_inj_out,trip_duration,crashes,skids
1.0826,1.638,-0.26,-0.12,57.0,2.0,0.0,2.0,4.0,336.1344537815126,1.0,7.0
1.1794999999999998,1.725,-0.06,-0.16,42.0,0.0,1.0,2.0,2.0,336.47375504710635,1.0,7.0
1.1639,1.707,0.0,-0.31,46.0,0.0,1.0,0.0,7.0,335.6831151393085,1.0,6.0
1.16825,1.7175,0.0,-0.34,44.0,0.0,1.0,0.0,8.0,335.9086328518643,0.0,6.0
1.17735,1.6905,0.0,-0.06,48.0,0.0,0.0,0.0,2.0,336.3605785401951,2.0,10.0
1.1542999999999999,1.689,-0.03,-0.22,48.0,0.0,1.0,1.0,4.0,336.47375504710635,0.0,8.0
1.1533999999999998,1.692,-0.03,-0.25,49.0,0.0,1.0,1.0,5.0,335.2329869259135,0.0,8.0
1.16865,1.6995,-0.06,-0.09,48.0,0.0,0.0,2.0,3.0,335.2329869259135,1.0,8.0
1.1437999999999997,1.674,0.0,-0.28,51.0,0.0,1.0,0.0,6.0,336.1344537815126,2.0,9.0
1.08075,1.5825,0.0,-0.27,65.0,0.0,0.0,0.0,9.0,337.154416722859,1.0,14.0
1.12245,1.6635,-0.12,-0.18,53.0,0.0,0.0,4.0,6.0,336.1344537815126,1.0,11.0
1.1314499999999998,1.6635,-0.03,-0.27,53.0,0.0,0.0,1.0,9.0,336.02150537634407,0.0,11.0
1.1328999999999998,1.677,-0.06,-0.29,50.0,0.0,2.0,2.0,3.0,336.58700774150117,1.0,10.0
1.1181499999999998,1.6845,-0.16,-0.29,49.0,1.0,2.0,2.0,3.0,336.3605785401951,2.0,13.0
1.1396999999999997,1.701,-0.13,-0.25,46.0,1.0,1.0,1.0,5.0,336.70033670033666,1.0,8.0
1.15575,1.6725,0.0,-0.15,52.0,0.0,0.0,0.0,5.0,335.6831151393085,0.0,10.0
1.1405,1.665,-0.06,-0.13,53.0,0.0,1.0,2.0,1.0,335.795836131632,1.0,10.0
1.1625,1.695,-0.06,-0.12,47.0,0.0,0.0,2.0,4.0,336.70033670033666,1.0,10.0
1.14505,1.7115,-0.06,-0.41,45.0,0.0,2.0,2.0,7.0,335.9086328518643,2.0,5.0
1.1058999999999999,1.647,-0.16,-0.15,57.0,1.0,0.0,2.0,5.0,335.00837520938023,2.0,14.0
