avg_ut,avg_ut_speed,avg_ut_in,avg_ut_out,n_accidents,n_fat_in,n_fat_out,n_inj_in,n_inj_out,trip_duration,crashes,skids
0.7895,1.713,-0.03,-0.29,43.0,0.0,2.0,1.0,3.0,337.7237419790611,0.0,10.0
0.8265,1.701,0.0,-0.12,45.0,0.0,0.0,0.0,4.0,337.7237419790611,0.0,4.0
0.79575,1.7115,0.0,-0.3,39.0,0.0,0.0,0.0,10.0,340.94783498124787,1.0,4.0
0.81925,1.7145,0.0,-0.19,40.0,0.0,1.0,0.0,3.0,339.9048266485384,1.0,8.0
0.74275,1.6575,-0.1,-0.28,50.0,1.0,1.0,0.0,6.0,338.9830508474576,0.0,10.0
0.769,1.674,-0.1,-0.19,49.0,1.0,1.0,0.0,3.0,338.1805884342239,2.0,10.0
0.76075,1.6575,-0.06,-0.25,51.0,0.0,1.0,2.0,5.0,338.63867253640365,0.0,9.0
0.796,1.704,-0.06,-0.19,42.0,0.0,1.0,2.0,3.0,339.67391304347825,0.0,6.0
0.7915,1.671,-0.06,-0.13,49.0,0.0,1.0,2.0,1.0,338.52403520649966,1.0,9.0
0.7515,1.683,-0.2,-0.15,45.0,2.0,0.0,0.0,5.0,339.67391304347825,2.0,9.0
0.81425,1.7505,-0.03,-0.26,36.0,0.0,2.0,1.0,2.0,338.1805884342239,0.0,6.0
0.744,1.59,-0.03,-0.21,61.0,0.0,0.0,1.0,7.0,339.55857385398986,2.0,12.0
0.775,1.668,-0.03,-0.25,47.0,0.0,1.0,1.0,5.0,340.71550255536624,1.0,7.0
0.731,1.668,-0.09,-0.38,50.0,0.0,2.0,3.0,6.0,337.83783783783787,1.0,9.0
0.75025,1.6305,-0.03,-0.28,54.0,0.0,1.0,1.0,6.0,339.7893306150187,2.0,10.0
0.8045,1.743,-0.03,-0.29,36.0,0.0,2.0,1.0,3.0,339.328130302002,1.0,9.0
0.8335,1.719,0.0,-0.13,41.0,0.0,1.0,0.0,1.0,338.63867253640365,0.0,6.0
0.8115,1.677,-0.03,-0.09,46.0,0.0,0.0,1.0,3.0,340.25178632187817,3.0,7.0
0.7245,1.659,-0.03,-0.48,51.0,0.0,3.0,1.0,6.0,338.409475465313,0.0,8.0
0.7815,1.689,-0.13,-0.12,46.0,1.0,0.0,1.0,4.0,338.63867253640365,2.0,12.0
0.76225,1.7145,-0.19,-0.19,40.0,1.0,1.0,3.0,3.0,340.02040122407345,2.0,8.0
