avg_ut,avg_ut_speed,avg_ut_in,avg_ut_out,n_accidents,n_fat_in,n_fat_out,n_inj_in,n_inj_out,trip_duration,crashes,skids
0.4557999999999999,1.527,-0.16,-0.26,56.0,1.0,2.0,2.0,2.0,354.10764872521247,7.0,13.0
0.4621,1.5015,-0.28,-0.23,63.0,1.0,2.0,6.0,1.0,351.74111853675697,10.0,21.0
0.6142000000000001,1.674,-0.23,-0.09,35.0,2.0,0.0,1.0,3.0,350.754121360926,2.0,12.0
0.5978000000000002,1.6755,-0.16,-0.12,39.0,1.0,0.0,2.0,4.0,346.98126301179735,8.0,7.0
0.6282000000000001,1.6155,-0.03,-0.03,43.0,0.0,0.0,1.0,1.0,352.11267605633805,2.0,15.0
0.5204,1.5975,-0.06,-0.2,48.0,0.0,2.0,2.0,0.0,350.50823694356814,8.0,15.0
0.5927,1.5315,-0.22,-0.03,58.0,1.0,0.0,4.0,1.0,351.98873636043646,6.0,23.0
0.6407999999999999,1.602,0.0,0.0,47.0,0.0,0.0,0.0,0.0,351.000351000351,8.0,13.0
0.6552,1.641,-0.12,0.0,43.0,0.0,0.0,4.0,0.0,348.7966515521451,8.0,14.0
0.5939000000000001,1.5765,-0.13,-0.06,48.0,1.0,0.0,1.0,2.0,354.23308537017357,6.0,18.0
0.5465,1.5675,-0.38,-0.13,50.0,2.0,1.0,6.0,1.0,353.1073446327684,11.0,18.0
0.6369000000000001,1.638,-0.06,-0.03,41.0,0.0,0.0,2.0,1.0,350.754121360926,7.0,18.0
0.5623,1.6455,-0.15,-0.16,39.0,0.0,1.0,5.0,2.0,351.37034434293747,7.0,10.0
0.5963999999999999,1.59,-0.42,-0.06,52.0,3.0,0.0,4.0,2.0,347.82608695652175,16.0,12.0
0.5951000000000002,1.626,-0.22,-0.09,47.0,1.0,0.0,4.0,3.0,347.22222222222223,6.0,12.0
0.6606000000000002,1.6545,-0.12,0.0,38.0,0.0,0.0,4.0,0.0,350.8771929824561,9.0,7.0
0.49030000000000007,1.554,-0.15,-0.22,54.0,0.0,1.0,5.0,4.0,351.8648838845883,7.0,20.0
0.5964,1.6245,-0.03,-0.09,46.0,0.0,0.0,1.0,3.0,348.4320557491289,5.0,11.0
0.5681,1.5645,-0.46,-0.09,53.0,4.0,0.0,2.0,3.0,351.000351000351,10.0,22.0
0.5731,1.533,-0.47,-0.06,62.0,2.0,0.0,9.0,2.0,347.34282737061477,13.0,20.0
0.5592,1.638,-0.16,-0.16,41.0,1.0,1.0,2.0,2.0,350.50823694356814,7.0,13.0
0.5538000000000001,1.5435,-0.46,-0.1,57.0,4.0,1.0,2.0,0.0,350.6311360448808,7.0,23.0
0.5738000000000001,1.572,-0.19,-0.09,53.0,1.0,0.0,3.0,3.0,349.8950314905528,9.0,10.0
0.6101000000000001,1.5735,-0.16,-0.03,50.0,1.0,0.0,2.0,1.0,352.485019386676,11.0,10.0
0.6531000000000001,1.6335,-0.03,0.0,43.0,0.0,0.0,1.0,0.0,349.8950314905528,6.0,13.0
0.5718000000000001,1.5825,-0.22,-0.1,53.0,1.0,1.0,4.0,0.0,348.4320557491289,8.0,14.0
0.5908000000000001,1.6245,0.0,-0.1,43.0,0.0,1.0,0.0,0.0,351.24692658939233,6.0,12.0
0.5187,1.581,-0.16,-0.19,52.0,1.0,1.0,2.0,3.0,349.5281370150297,4.0,17.0
0.6657000000000001,1.6665,-0.09,0.0,39.0,0.0,0.0,3.0,0.0,348.18941504178275,7.0,15.0
0.6344,1.593,-0.28,0.0,51.0,1.0,0.0,6.0,0.0,348.5535029627047,11.0,14.0
0.6,1.5885,0.0,-0.06,50.0,0.0,0.0,0.0,2.0,350.2626970227671,1.0,16.0
0.6155000000000002,1.6305,-0.13,-0.06,42.0,1.0,0.0,1.0,2.0,351.12359550561797,3.0,9.0
0.5635,1.548,-0.26,-0.09,59.0,2.0,0.0,2.0,3.0,348.06822137138874,13.0,16.0
0.6176000000000001,1.638,-0.22,-0.06,40.0,1.0,0.0,4.0,2.0,351.74111853675697,5.0,16.0
0.5612999999999999,1.539,-0.12,-0.09,59.0,0.0,0.0,4.0,3.0,349.40600978336823,11.0,7.0
0.6159000000000001,1.6305,-0.09,-0.06,43.0,0.0,0.0,3.0,2.0,349.7726477789437,6.0,7.0
0.6441000000000001,1.6125,-0.09,0.0,45.0,0.0,0.0,3.0,0.0,351.37034434293747,4.0,11.0
0.5548000000000001,1.6245,-0.06,-0.16,40.0,0.0,1.0,2.0,2.0,353.60678925035364,9.0,6.0
0.5568,1.5285,-0.15,-0.09,62.0,0.0,0.0,5.0,3.0,348.4320557491289,5.0,23.0
0.6125,1.623,-0.13,-0.06,44.0,1.0,0.0,1.0,2.0,350.38542396636296,8.0,11.0
0.5183,1.5945,-0.15,-0.2,47.0,0.0,2.0,5.0,0.0,351.98873636043646,10.0,15.0
0.636,1.593,-0.12,0.0,54.0,0.0,0.0,4.0,0.0,346.1405330564209,10.0,12.0
0.5719000000000001,1.668,-0.09,-0.16,37.0,0.0,1.0,3.0,2.0,350.140056022409,2.0,15.0
0.45489999999999997,1.5705,-0.22,-0.29,54.0,1.0,2.0,4.0,3.0,349.1620111731844,8.0,14.0
0.6272000000000001,1.6605,-0.16,-0.06,39.0,1.0,0.0,2.0,2.0,349.1620111731844,6.0,11.0
0.6132000000000001,1.5795,-0.09,-0.03,54.0,0.0,0.0,3.0,1.0,347.82608695652175,10.0,11.0
0.6305,1.5795,-0.13,0.0,55.0,1.0,0.0,1.0,0.0,347.1017007983339,5.0,23.0
0.5562,1.5885,-0.25,-0.13,52.0,1.0,1.0,5.0,1.0,348.4320557491289,11.0,14.0
0.6203000000000001,1.6005,-0.22,-0.03,44.0,1.0,0.0,4.0,1.0,353.8570417551309,5.0,16.0
0.578,1.644,-0.29,-0.13,42.0,2.0,1.0,3.0,1.0,349.0401396160558,8.0,16.0
0.6089000000000001,1.6155,-0.19,-0.06,44.0,1.0,0.0,3.0,2.0,351.74111853675697,9.0,5.0
0.6102000000000001,1.6155,-0.06,-0.06,46.0,0.0,0.0,2.0,2.0,349.65034965034965,8.0,9.0
0.5296000000000001,1.608,-0.15,-0.19,51.0,0.0,1.0,5.0,3.0,346.26038781163436,10.0,16.0
0.5412,1.593,-0.16,-0.16,49.0,1.0,1.0,2.0,2.0,350.50823694356814,8.0,15.0
0.6144000000000001,1.6245,0.0,-0.06,45.0,0.0,0.0,0.0,2.0,349.28396786587496,9.0,14.0
0.6398,1.6485,-0.19,-0.03,41.0,1.0,0.0,3.0,1.0,349.40600978336823,10.0,10.0
0.4784000000000001,1.626,-0.09,-0.29,44.0,0.0,2.0,3.0,3.0,349.65034965034965,9.0,10.0
0.5709000000000001,1.623,-0.16,-0.13,42.0,1.0,1.0,2.0,1.0,352.6093088857546,3.0,10.0
0.6003000000000001,1.635,-0.06,-0.09,40.0,0.0,0.0,2.0,3.0,352.23670306445933,6.0,8.0
0.6284000000000001,1.6185,-0.13,-0.03,46.0,1.0,0.0,1.0,1.0,348.5535029627047,9.0,14.0
0.5193,1.539,-0.19,-0.16,59.0,1.0,1.0,3.0,2.0,349.40600978336823,11.0,13.0
0.5648000000000001,1.5495,-0.19,-0.09,57.0,1.0,0.0,3.0,3.0,349.65034965034965,5.0,17.0
0.49840000000000007,1.617,-0.09,-0.25,43.0,0.0,1.0,3.0,5.0,352.7336860670194,6.0,6.0
0.5253,1.536,-0.06,-0.15,56.0,0.0,0.0,2.0,5.0,352.85815102328866,11.0,9.0
0.336,1.5675,-0.19,-0.49,54.0,1.0,4.0,3.0,3.0,349.5281370150297,7.0,13.0
0.5769000000000001,1.578,-0.12,-0.09,49.0,0.0,0.0,4.0,3.0,352.485019386676,11.0,12.0
0.5153000000000001,1.575,-0.26,-0.19,53.0,2.0,1.0,2.0,3.0,349.65034965034965,11.0,19.0
0.5223000000000001,1.5915,-0.22,-0.19,45.0,1.0,1.0,4.0,3.0,354.48422545196735,4.0,19.0
0.6212000000000001,1.602,-0.19,-0.03,48.0,1.0,0.0,3.0,1.0,349.7726477789437,8.0,14.0
0.6393000000000001,1.599,-0.03,0.0,49.0,0.0,0.0,1.0,0.0,349.40600978336823,7.0,16.0
0.6764000000000001,1.695,-0.16,0.0,33.0,1.0,0.0,2.0,0.0,349.65034965034965,3.0,10.0
0.5908,1.533,-0.47,-0.03,57.0,2.0,0.0,9.0,1.0,352.23670306445933,9.0,20.0
0.6002000000000001,1.5945,-0.22,-0.06,48.0,1.0,0.0,4.0,2.0,351.000351000351,8.0,15.0
0.6098000000000001,1.6185,-0.22,-0.06,45.0,1.0,0.0,4.0,2.0,350.0175008750437,8.0,11.0
0.5787,1.6695,-0.06,-0.15,37.0,0.0,0.0,2.0,5.0,350.0175008750437,4.0,8.0
0.6025,1.5615,-0.44,-0.03,51.0,2.0,0.0,8.0,1.0,353.60678925035364,10.0,18.0
0.6345,1.635,-0.18,-0.03,42.0,0.0,0.0,6.0,1.0,350.8771929824561,7.0,15.0
0.6138000000000001,1.623,0.0,-0.06,44.0,0.0,0.0,0.0,2.0,350.38542396636296,7.0,8.0
0.5622,1.6455,-0.16,-0.16,45.0,1.0,1.0,2.0,2.0,346.26038781163436,7.0,10.0
0.57,1.6215,-0.19,-0.13,45.0,1.0,1.0,3.0,1.0,349.65034965034965,4.0,13.0
0.5385,1.5885,-0.25,-0.16,51.0,1.0,1.0,5.0,2.0,348.91835310537334,9.0,12.0
0.5707000000000001,1.6665,-0.15,-0.16,36.0,0.0,1.0,5.0,2.0,351.000351000351,5.0,9.0
0.6158,1.6335,-0.22,-0.06,41.0,1.0,0.0,4.0,2.0,351.493848857645,8.0,14.0
0.6061000000000001,1.6545,-0.26,-0.09,40.0,2.0,0.0,2.0,3.0,349.65034965034965,8.0,12.0
0.6406000000000002,1.6065,-0.2,0.0,46.0,2.0,0.0,0.0,0.0,351.37034434293747,9.0,12.0
0.6074,1.5675,-0.19,-0.03,50.0,1.0,0.0,3.0,1.0,353.60678925035364,5.0,13.0
0.5859,1.599,-0.06,-0.09,49.0,0.0,0.0,2.0,3.0,349.1620111731844,7.0,13.0
0.65,1.6305,-0.22,0.0,42.0,1.0,0.0,4.0,0.0,351.37034434293747,3.0,16.0
0.6257,1.614,-0.22,-0.03,46.0,1.0,0.0,4.0,1.0,349.7726477789437,10.0,12.0
0.5592,1.593,-0.13,-0.13,48.0,1.0,1.0,1.0,1.0,351.000351000351,10.0,22.0
0.5646,1.5915,-0.12,-0.12,51.0,0.0,0.0,4.0,4.0,348.31069313827936,13.0,12.0
0.5903,1.5675,-0.13,-0.06,51.0,1.0,0.0,1.0,2.0,352.485019386676,7.0,15.0
0.5183000000000001,1.5915,-0.03,-0.2,47.0,0.0,2.0,1.0,0.0,352.85815102328866,5.0,13.0
0.6097,1.6755,-0.15,-0.1,35.0,0.0,1.0,5.0,0.0,351.000351000351,5.0,8.0
0.5042000000000001,1.6455,-0.06,-0.26,43.0,0.0,2.0,2.0,2.0,347.34282737061477,8.0,9.0
0.5606000000000001,1.644,-0.26,-0.16,41.0,2.0,1.0,2.0,2.0,350.0175008750437,3.0,14.0
0.6555000000000001,1.6395,-0.03,0.0,40.0,0.0,0.0,1.0,0.0,351.37034434293747,10.0,9.0
0.572,1.611,-0.16,-0.12,47.0,1.0,0.0,2.0,4.0,349.65034965034965,4.0,18.0
0.6155,1.635,-0.31,-0.06,41.0,1.0,0.0,7.0,2.0,351.37034434293747,7.0,12.0
0.6621000000000001,1.659,-0.15,0.0,38.0,0.0,0.0,5.0,0.0,350.50823694356814,5.0,12.0
0.5706,1.5615,-0.09,-0.09,53.0,0.0,0.0,3.0,3.0,351.493848857645,7.0,16.0
