avg_ut,avg_ut_speed,avg_ut_in,avg_ut_out,n_accidents,n_fat_in,n_fat_out,n_inj_in,n_inj_out,trip_duration,crashes,skids
0.3924499999999999,1.5615,0.0,-0.19,36.0,0.0,1.0,0.0,3.0,368.3241252302026,0.0,5.0
0.4735499999999999,1.6185,0.0,-0.03,25.0,0.0,0.0,0.0,1.0,369.4126339120798,0.0,0.0
0.3687499999999999,1.5225,0.0,-0.22,43.0,0.0,1.0,0.0,4.0,367.37692872887584,0.0,5.0
0.3747499999999999,1.6125,-0.03,-0.25,33.0,0.0,1.0,1.0,5.0,362.844702467344,0.0,3.0
0.3663499999999999,1.5645,-0.13,-0.16,35.0,1.0,1.0,1.0,2.0,369.1399040236249,0.0,7.0
0.4565999999999999,1.602,0.0,-0.06,30.0,0.0,0.0,0.0,2.0,367.91758646063283,0.0,2.0
0.4002499999999999,1.5375,-0.03,-0.13,41.0,0.0,1.0,1.0,1.0,367.5119441381845,0.0,4.0
0.4165499999999999,1.5885,0.0,-0.15,39.0,0.0,0.0,0.0,5.0,360.75036075036076,0.0,4.0
0.4441999999999999,1.614,0.0,-0.1,28.0,0.0,1.0,0.0,0.0,367.6470588235294,0.0,2.0
0.3991499999999999,1.5705,0.0,-0.18,36.0,0.0,0.0,0.0,6.0,366.03221083455344,0.0,1.0
0.4122499999999999,1.6275,0.0,-0.19,28.0,0.0,1.0,0.0,3.0,364.963503649635,0.0,6.0
0.4666499999999999,1.5555,0.0,0.0,37.0,0.0,0.0,0.0,0.0,368.45983787767136,0.0,5.0
0.4190999999999999,1.587,-0.03,-0.12,34.0,0.0,0.0,1.0,4.0,366.3003663003663,0.0,3.0
0.4604999999999999,1.575,0.0,-0.03,33.0,0.0,0.0,0.0,1.0,369.00369003690037,0.0,1.0
0.4469999999999999,1.65,0.0,-0.12,24.0,0.0,0.0,0.0,4.0,366.16623947272063,0.0,1.0
0.40034999999999993,1.5345,0.0,-0.15,41.0,0.0,0.0,0.0,5.0,367.91758646063283,0.0,5.0
0.44914999999999994,1.6305,0.0,-0.1,27.0,0.0,1.0,0.0,0.0,366.43459142543054,0.0,1.0
0.4286999999999999,1.539,-0.03,-0.06,44.0,0.0,0.0,1.0,2.0,364.56434560699967,0.0,6.0
0.40714999999999985,1.5705,0.0,-0.16,34.0,0.0,1.0,0.0,2.0,368.59565057132323,0.0,1.0
0.3414499999999999,1.5315,-0.06,-0.25,42.0,0.0,1.0,2.0,5.0,367.6470588235294,0.0,7.0
0.44069999999999987,1.509,0.0,-0.03,43.0,0.0,0.0,0.0,1.0,370.23324694557573,0.0,2.0
0.36849999999999994,1.575,0.0,-0.26,34.0,0.0,2.0,0.0,2.0,367.6470588235294,0.0,3.0
0.4408499999999999,1.5495,0.0,-0.06,39.0,0.0,0.0,0.0,2.0,367.5119441381845,0.0,7.0
0.4513499999999999,1.6245,0.0,-0.09,28.0,0.0,0.0,0.0,3.0,365.764447695684,0.0,3.0
0.47369999999999995,1.659,0.0,-0.06,21.0,0.0,0.0,0.0,2.0,367.37692872887584,0.0,1.0
0.44444999999999996,1.5615,0.0,-0.06,38.0,0.0,0.0,0.0,2.0,366.3003663003663,0.0,8.0
0.4013999999999999,1.458,0.0,-0.09,48.0,0.0,0.0,0.0,3.0,373.4129947722181,0.0,5.0
0.3187499999999999,1.5825,0.0,-0.39,32.0,0.0,3.0,0.0,3.0,368.73156342182887,0.0,4.0
0.3850999999999999,1.557,-0.1,-0.13,35.0,1.0,1.0,0.0,1.0,370.23324694557573,0.0,5.0
0.33354999999999996,1.4985,0.0,-0.29,45.0,0.0,2.0,0.0,3.0,369.5491500369549,0.0,4.0
0.3859999999999999,1.53,-0.03,-0.16,43.0,0.0,1.0,1.0,2.0,366.3003663003663,0.0,6.0
0.41029999999999983,1.581,0.0,-0.16,35.0,0.0,1.0,0.0,2.0,366.43459142543054,0.0,4.0
0.4622999999999999,1.581,0.0,-0.03,36.0,0.0,0.0,0.0,1.0,365.4970760233918,0.0,1.0
0.3908999999999999,1.503,0.0,-0.15,45.0,0.0,0.0,0.0,5.0,369.5491500369549,0.0,2.0
0.46739999999999987,1.638,0.0,-0.06,28.0,0.0,0.0,0.0,2.0,363.7686431429611,0.0,3.0
0.3884499999999999,1.5615,0.0,-0.2,37.0,0.0,2.0,0.0,0.0,366.9724770642202,0.0,5.0
