avg_ut,n_accidents,n_fat_in,n_fat_out,n_inj_in,n_inj_out,trip_duration
0.5227499999999999,8.0,0.0,1.0,0.0,0.0,67.22689075630252
0.5339999999999999,6.0,0.0,0.0,0.0,0.0,67.68189509306261
0.52725,7.0,0.0,0.0,0.0,0.0,67.68189509306261
0.5722499999999999,1.0,0.0,0.0,0.0,0.0,68.25938566552901
0.4867499999999999,10.0,0.0,0.0,0.0,0.0,68.72852233676976
0.5047499999999999,8.0,0.0,0.0,0.0,1.0,68.72852233676976
0.5294999999999999,7.0,0.0,0.0,0.0,0.0,67.34006734006734
0.5407499999999998,6.0,0.0,0.0,0.0,0.0,67.22689075630252
0.5204999999999999,7.0,0.0,0.0,0.0,0.0,68.14310051107326
0.5002499999999999,10.0,0.0,0.0,0.0,0.0,67.68189509306261
0.1637499999999998,8.0,1.0,0.0,0.0,2.0,67.91171477079797
0.5092499999999999,8.0,0.0,0.0,0.0,1.0,68.37606837606837
0.5002499999999999,9.0,0.0,0.0,0.0,0.0,68.25938566552901
0.4064999999999999,8.0,0.0,0.0,1.0,1.0,68.25938566552901
0.5204999999999999,8.0,0.0,0.0,0.0,2.0,67.45362563237774
0.5384999999999998,5.0,0.0,0.0,0.0,0.0,68.25938566552901
0.5137499999999999,9.0,0.0,0.0,0.0,0.0,67.22689075630252
0.49124999999999985,11.0,0.0,1.0,0.0,1.0,67.56756756756756
0.5002499999999999,10.0,0.0,0.0,0.0,0.0,67.56756756756756
0.4199999999999999,7.0,0.0,0.0,1.0,1.0,67.79661016949152
0.5497499999999998,4.0,0.0,0.0,0.0,1.0,67.91171477079797
0.5137499999999998,7.0,0.0,0.0,0.0,0.0,68.61063464837049
0.5384999999999999,5.0,0.0,0.0,0.0,0.0,68.14310051107326
0.5542499999999999,4.0,0.0,0.0,0.0,0.0,67.56756756756756
0.4957499999999999,10.0,0.0,0.0,0.0,1.0,68.02721088435375
0.5407499999999998,5.0,0.0,0.0,0.0,0.0,67.91171477079797
0.5249999999999999,7.0,0.0,0.0,0.0,1.0,67.79661016949152
0.5542499999999998,4.0,0.0,0.0,0.0,0.0,67.56756756756756
0.5047499999999999,8.0,0.0,0.0,0.0,0.0,68.72852233676976
0.53175,7.0,0.0,1.0,0.0,0.0,67.22689075630252
0.5564999999999999,4.0,0.0,0.0,0.0,0.0,67.34006734006734
0.4664999999999999,13.0,0.0,1.0,0.0,1.0,68.02721088435375
0.5047499999999999,8.0,0.0,0.0,0.0,1.0,68.61063464837049
0.5362499999999999,6.0,0.0,0.0,0.0,0.0,67.56756756756756
0.5497499999999998,4.0,0.0,0.0,0.0,0.0,68.02721088435375
0.49349999999999994,11.0,0.0,1.0,0.0,0.0,67.45362563237774
0.5249999999999999,8.0,0.0,0.0,0.0,1.0,67.00167504187606
0.5069999999999999,9.0,0.0,0.0,0.0,3.0,67.79661016949152
0.3127499999999999,8.0,0.0,0.0,2.0,2.0,67.22689075630252
0.5159999999999999,8.0,0.0,1.0,0.0,1.0,67.79661016949152
0.4979999999999999,11.0,0.0,0.0,0.0,2.0,67.00167504187606
0.348,15.0,0.0,0.0,1.0,1.0,67.79661016949152
0.33675,17.0,0.0,0.0,1.0,4.0,67.22689075630252
0.5115,8.0,0.0,0.0,0.0,1.0,68.14310051107326
0.5002499999999999,9.0,0.0,0.0,0.0,1.0,68.37606837606837
0.4777499999999999,11.0,0.0,0.0,0.0,0.0,68.61063464837049
0.5137499999999999,9.0,0.0,1.0,0.0,1.0,67.22689075630252
0.4957499999999999,9.0,0.0,0.0,0.0,2.0,68.84681583476765
0.5092499999999999,9.0,0.0,0.0,0.0,0.0,67.68189509306261
0.36149999999999993,14.0,0.0,0.0,1.0,1.0,67.34006734006734
0.5429999999999999,5.0,0.0,0.0,0.0,0.0,67.91171477079797
0.5722499999999998,2.0,0.0,0.0,0.0,0.0,67.56756756756756
0.5384999999999999,6.0,0.0,0.0,0.0,2.0,67.45362563237774
0.5002499999999999,10.0,0.0,0.0,0.0,0.0,67.56756756756756
0.5542499999999998,3.0,0.0,0.0,0.0,1.0,68.25938566552901
0.49124999999999985,9.0,0.0,0.0,0.0,4.0,69.08462867012089
0.15474999999999994,9.0,1.0,1.0,0.0,3.0,67.91171477079797
0.48449999999999993,11.0,0.0,0.0,0.0,2.0,68.02721088435375
0.48224999999999996,12.0,0.0,0.0,0.0,1.0,67.56756756756756
0.5182499999999999,8.0,0.0,0.0,0.0,0.0,67.56756756756756
0.48899999999999993,11.0,0.0,0.0,0.0,2.0,67.68189509306261
0.5362499999999999,6.0,0.0,2.0,0.0,0.0,67.56756756756756
0.5115,9.0,0.0,0.0,0.0,0.0,67.45362563237774
0.49349999999999994,11.0,0.0,0.0,0.0,2.0,67.45362563237774
0.5137499999999998,8.0,0.0,0.0,0.0,1.0,68.02721088435375
0.4867499999999999,10.0,0.0,0.0,0.0,2.0,68.72852233676976
0.5115,8.0,0.0,0.0,0.0,1.0,68.14310051107326
0.5339999999999998,6.0,0.0,0.0,0.0,0.0,67.79661016949152
0.48899999999999993,10.0,0.0,0.0,0.0,1.0,68.4931506849315
0.46874999999999994,12.0,0.0,0.0,0.0,0.0,68.61063464837049
0.5002499999999999,10.0,0.0,0.0,0.0,0.0,67.68189509306261
0.52725,7.0,0.0,0.0,0.0,1.0,67.56756756756756
0.5564999999999999,4.0,0.0,0.0,0.0,0.0,67.34006734006734
0.08349999999999971,6.0,1.0,0.0,1.0,0.0,67.34006734006734
0.5137499999999998,8.0,0.0,0.0,0.0,1.0,67.91171477079797
0.5339999999999999,6.0,0.0,0.0,0.0,0.0,67.68189509306261
0.5024999999999998,8.0,0.0,0.0,0.0,2.0,68.96551724137932
0.48899999999999993,10.0,0.0,1.0,0.0,0.0,68.61063464837049
0.5407499999999998,6.0,0.0,0.0,0.0,0.0,67.22689075630252
0.5497499999999998,3.0,0.0,0.0,0.0,1.0,68.61063464837049
0.48224999999999996,11.0,0.0,0.0,0.0,0.0,68.37606837606837
0.5204999999999999,8.0,0.0,0.0,0.0,0.0,67.34006734006734
0.5542499999999998,4.0,0.0,0.0,0.0,0.0,67.56756756756756
0.5159999999999999,8.0,0.0,0.0,0.0,1.0,67.79661016949152
0.47999999999999987,12.0,0.0,0.0,0.0,3.0,67.68189509306261
0.5497499999999998,5.0,0.0,0.0,0.0,1.0,67.22689075630252
0.5632499999999999,3.0,0.0,0.0,0.0,2.0,67.56756756756756
0.5182499999999999,7.0,0.0,0.0,0.0,0.0,68.25938566552901
0.4844999999999999,10.0,0.0,0.0,0.0,1.0,68.96551724137932
0.5025,10.0,0.0,0.0,0.0,1.0,67.45362563237774
0.4934999999999999,11.0,0.0,0.0,0.0,1.0,67.34006734006734
0.5294999999999999,7.0,0.0,0.0,0.0,0.0,67.34006734006734
0.48899999999999993,12.0,0.0,0.0,0.0,2.0,67.00167504187606
0.5294999999999999,7.0,0.0,0.0,0.0,1.0,67.45362563237774
0.5519999999999999,5.0,0.0,0.0,0.0,0.0,67.00167504187606
0.5294999999999999,6.0,0.0,0.0,0.0,1.0,68.14310051107326
0.5204999999999999,7.0,0.0,0.0,0.0,1.0,68.02721088435375
0.47999999999999987,13.0,0.0,0.0,0.0,2.0,67.00167504187606
0.49349999999999994,9.0,0.0,0.0,0.0,3.0,68.84681583476765
0.17499999999999985,7.0,1.0,0.0,0.0,1.0,67.68189509306261
0.5339999999999999,5.0,0.0,0.0,0.0,1.0,68.4931506849315
0.444,15.0,0.0,0.0,0.0,5.0,68.37606837606837
0.48899999999999993,10.0,0.0,0.0,0.0,3.0,68.4931506849315
0.5092499999999999,9.0,0.0,1.0,0.0,1.0,67.56756756756756
0.5115,9.0,0.0,0.0,0.0,2.0,67.45362563237774
0.4934999999999999,11.0,0.0,0.0,0.0,0.0,67.45362563237774
0.5069999999999999,9.0,0.0,0.0,0.0,0.0,67.79661016949152
0.53175,6.0,0.0,0.0,0.0,0.0,67.91171477079797
0.5452499999999999,5.0,0.0,0.0,0.0,0.0,67.56756756756756
0.5452499999999998,5.0,0.0,1.0,0.0,0.0,67.56756756756756
0.5137499999999998,9.0,0.0,0.0,0.0,1.0,67.22689075630252
0.5227499999999999,6.0,0.0,0.0,0.0,0.0,68.84681583476765
0.5429999999999998,6.0,0.0,0.0,0.0,0.0,67.00167504187606
0.5249999999999999,7.0,0.0,0.0,0.0,1.0,67.79661016949152
0.5542499999999999,3.0,0.0,0.0,0.0,0.0,68.25938566552901
0.48224999999999996,11.0,0.0,0.0,0.0,2.0,68.25938566552901
0.5069999999999999,8.0,0.0,0.0,0.0,1.0,68.4931506849315
