avg_ut,n_accidents,n_fat_in,n_fat_out,n_inj_in,n_inj_out
0.5159999999999999,0.0,0.0,0.0,0.0,0.0
0.5115,1.0,0.0,0.0,0.0,0.0
0.483,1.0,0.0,0.0,1.0,0.0
0.38774999999999993,3.0,0.0,0.0,0.0,1.0
0.5047499999999999,2.0,0.0,0.0,0.0,0.0
0.5204999999999999,1.0,0.0,0.0,0.0,0.0
0.49124999999999985,1.0,0.0,0.0,0.0,0.0
0.48449999999999993,3.0,0.0,0.0,0.0,0.0
0.4462499999999999,3.0,0.0,0.0,0.0,0.0
0.38849999999999996,3.0,0.0,0.0,1.0,1.0
0.34449999999999986,4.0,1.0,0.0,0.0,1.0
0.4799999999999999,3.0,0.0,0.0,0.0,0.0
0.498,2.0,0.0,0.0,0.0,0.0
0.4844999999999999,3.0,0.0,0.0,0.0,0.0
0.4059999999999999,3.0,1.0,0.0,1.0,0.0
0.5092499999999999,3.0,0.0,0.0,0.0,0.0
0.47625,2.0,0.0,0.0,1.0,0.0
0.39224999999999993,2.0,0.0,0.0,0.0,1.0
0.5137499999999999,2.0,0.0,0.0,0.0,0.0
0.5025,0.0,0.0,0.0,0.0,0.0
0.408,3.0,0.0,0.0,0.0,1.0
0.53175,0.0,0.0,0.0,0.0,0.0
0.48674999999999996,1.0,0.0,0.0,0.0,0.0
0.49125,1.0,0.0,0.0,0.0,0.0
0.5002499999999999,1.0,0.0,0.0,0.0,0.0
0.48899999999999993,2.0,0.0,0.0,0.0,0.0
0.5069999999999999,2.0,0.0,0.0,0.0,0.0
0.4934999999999999,4.0,0.0,0.0,0.0,0.0
0.5002499999999999,1.0,0.0,0.0,0.0,0.0
0.46874999999999994,2.0,0.0,0.0,0.0,0.0
0.5069999999999999,0.0,0.0,0.0,0.0,0.0
0.46874999999999994,5.0,0.0,0.0,0.0,0.0
0.4102499999999999,2.0,0.0,0.0,0.0,1.0
0.4192499999999999,2.0,0.0,0.0,0.0,1.0
0.3552499999999999,3.0,2.0,0.0,0.0,0.0
0.42599999999999993,1.0,0.0,0.0,0.0,1.0
0.45974999999999994,5.0,0.0,0.0,0.0,0.0
0.45599999999999985,4.0,0.0,0.0,1.0,0.0
0.4912499999999999,3.0,0.0,0.0,0.0,0.0
0.48224999999999996,2.0,0.0,0.0,0.0,0.0
0.3555,3.0,0.0,0.0,2.0,1.0
