avg_ut,n_accidents,n_fat_in,n_fat_out,n_inj_in,n_inj_out
0.49349999999999994,2.0,0.0,0.0,0.0,0.0
0.4732499999999999,4.0,0.0,0.0,0.0,0.0
0.46874999999999994,5.0,0.0,0.0,0.0,0.0
0.4934999999999999,1.0,0.0,0.0,0.0,0.0
0.45449999999999996,3.0,0.0,0.0,0.0,1.0
0.4979999999999999,2.0,0.0,0.0,0.0,0.0
0.48674999999999996,1.0,0.0,0.0,0.0,0.0
0.5002499999999999,2.0,0.0,0.0,0.0,0.0
0.3435,2.0,0.0,0.0,2.0,0.0
0.3795,2.0,0.0,0.0,1.0,1.0
0.2690000000000001,5.0,0.0,1.0,1.0,0.0
0.47775,3.0,0.0,0.0,0.0,0.0
0.4979999999999999,2.0,0.0,0.0,0.0,0.0
0.4754999999999999,4.0,0.0,0.0,0.0,0.0
0.4477499999999999,2.0,0.0,0.0,0.0,1.0
0.45749999999999985,4.0,0.0,0.0,0.0,0.0
0.48899999999999993,1.0,0.0,0.0,0.0,0.0
0.5069999999999999,1.0,0.0,0.0,0.0,0.0
0.5204999999999999,0.0,0.0,0.0,0.0,0.0
0.48149999999999993,1.0,0.0,0.0,0.0,1.0
0.4709999999999999,3.0,0.0,0.0,0.0,0.0
0.37499999999999983,1.0,0.0,0.0,2.0,0.0
0.4979999999999999,3.0,0.0,0.0,0.0,0.0
0.4755,3.0,0.0,0.0,0.0,0.0
0.5115,0.0,0.0,0.0,0.0,0.0
0.4732499999999999,2.0,0.0,0.0,0.0,0.0
0.46125,3.0,0.0,0.0,0.0,1.0
0.4979999999999999,1.0,0.0,0.0,0.0,0.0
0.4207499999999999,4.0,0.0,0.0,1.0,0.0
0.348,6.0,0.0,0.0,1.0,1.0
0.50925,0.0,0.0,0.0,0.0,0.0
0.04174999999999993,6.0,1.0,0.0,2.0,0.0
0.42749999999999994,2.0,0.0,0.0,1.0,0.0
0.4957499999999999,1.0,0.0,0.0,0.0,0.0
0.5204999999999999,1.0,0.0,0.0,0.0,0.0
0.32775,3.0,0.0,0.0,2.0,0.0
0.40949999999999986,5.0,0.0,0.0,1.0,0.0
0.4957499999999999,2.0,0.0,0.0,0.0,0.0
0.48674999999999996,2.0,0.0,0.0,0.0,0.0
0.45675,1.0,0.0,0.0,0.0,1.0
0.5272499999999999,1.0,0.0,0.0,0.0,0.0
0.5047499999999999,1.0,0.0,0.0,0.0,0.0
0.45524999999999993,6.0,0.0,0.0,0.0,0.0
0.48450000000000004,1.0,0.0,0.0,0.0,0.0
0.4777499999999999,4.0,0.0,0.0,0.0,0.0
0.5092499999999999,1.0,0.0,0.0,0.0,0.0
0.31575,2.0,0.0,0.0,2.0,1.0
0.5002499999999999,1.0,0.0,0.0,0.0,0.0
0.42974999999999997,3.0,0.0,0.0,1.0,0.0
0.5092499999999999,2.0,0.0,0.0,0.0,0.0
0.50925,0.0,0.0,0.0,0.0,0.0
0.13399999999999992,2.0,1.0,0.0,1.0,1.0
0.4957499999999999,0.0,0.0,0.0,0.0,0.0
0.46874999999999994,4.0,0.0,0.0,0.0,0.0
0.50025,0.0,0.0,0.0,0.0,0.0
0.40724999999999995,3.0,0.0,0.0,1.0,0.0
0.40275,4.0,0.0,0.0,1.0,0.0
0.23224999999999996,2.0,1.0,0.0,0.0,0.0
0.39824999999999994,3.0,0.0,0.0,1.0,0.0
0.49574999999999997,1.0,0.0,0.0,0.0,0.0
0.49574999999999997,3.0,0.0,0.0,0.0,0.0
0.48224999999999996,2.0,0.0,0.0,0.0,0.0
0.52725,1.0,0.0,0.0,0.0,0.0
0.5047499999999999,2.0,0.0,0.0,0.0,0.0
0.5115,1.0,0.0,0.0,0.0,0.0
0.41624999999999995,3.0,0.0,0.0,1.0,0.0
0.4664999999999999,4.0,0.0,0.0,0.0,0.0
0.3817499999999999,2.0,0.0,0.0,1.0,1.0
0.4387499999999999,6.0,0.0,0.0,0.0,1.0
0.4777499999999999,3.0,0.0,0.0,0.0,0.0
0.5182499999999999,1.0,0.0,0.0,0.0,0.0
0.44849999999999995,5.0,0.0,0.0,0.0,0.0
0.4205,1.0,0.0,1.0,0.0,0.0
0.45449999999999996,3.0,0.0,0.0,0.0,1.0
0.5204999999999999,2.0,0.0,0.0,0.0,0.0
0.47324999999999995,2.0,0.0,0.0,0.0,0.0
0.4957499999999999,0.0,0.0,0.0,0.0,0.0
0.248,3.0,1.0,0.0,0.0,0.0
0.4844999999999999,1.0,0.0,0.0,0.0,0.0
0.52725,0.0,0.0,0.0,0.0,0.0
0.498,2.0,0.0,0.0,0.0,0.0
0.36375,6.0,0.0,0.0,1.0,1.0
0.507,0.0,0.0,0.0,0.0,0.0
0.45449999999999996,2.0,0.0,0.0,0.0,1.0
0.48899999999999993,2.0,0.0,0.0,0.0,0.0
0.44999999999999984,1.0,0.0,0.0,1.0,0.0
0.48449999999999993,3.0,0.0,0.0,0.0,0.0
0.26175,3.0,0.0,0.0,3.0,0.0
0.4957499999999999,1.0,0.0,0.0,0.0,0.0
0.5249999999999999,0.0,0.0,0.0,0.0,0.0
0.498,1.0,0.0,0.0,0.0,0.0
0.5115,1.0,0.0,0.0,0.0,0.0
0.5137499999999999,1.0,0.0,0.0,0.0,0.0
0.46199999999999997,4.0,0.0,0.0,0.0,0.0
0.31124999999999997,3.0,0.0,0.0,2.0,1.0
0.48224999999999996,2.0,0.0,0.0,0.0,0.0
0.5182499999999999,1.0,0.0,0.0,0.0,0.0
0.4364999999999999,2.0,0.0,0.0,1.0,0.0
0.46649999999999997,3.0,0.0,0.0,0.0,0.0
0.4387499999999999,2.0,0.0,0.0,0.0,1.0
0.42899999999999994,3.0,0.0,0.0,0.0,2.0
0.41624999999999995,3.0,0.0,0.0,1.0,0.0
0.2615,1.0,1.0,0.0,0.0,0.0
0.5159999999999999,0.0,0.0,0.0,0.0,0.0
0.44324999999999987,2.0,0.0,0.0,1.0,0.0
0.5047499999999999,2.0,0.0,0.0,0.0,0.0
0.46199999999999997,3.0,0.0,0.0,0.0,0.0
0.5002499999999999,0.0,0.0,0.0,0.0,0.0
0.5294999999999999,1.0,0.0,0.0,0.0,0.0
0.2547499999999999,4.0,0.0,1.0,2.0,0.0
0.46199999999999997,3.0,0.0,0.0,0.0,0.0
0.49349999999999994,1.0,0.0,0.0,0.0,0.0
0.4957499999999999,1.0,0.0,0.0,0.0,0.0
-0.20850000000000013,4.0,2.0,1.0,1.0,0.0
0.5025,1.0,0.0,0.0,0.0,0.0
0.4927499999999999,2.0,0.0,0.0,0.0,1.0
0.45449999999999996,1.0,0.0,0.0,1.0,0.0
0.5204999999999999,0.0,0.0,0.0,0.0,0.0
0.5069999999999999,1.0,0.0,0.0,0.0,0.0
0.4957499999999999,3.0,0.0,0.0,0.0,0.0
0.48899999999999993,2.0,0.0,0.0,0.0,0.0
0.5137499999999998,2.0,0.0,0.0,0.0,0.0
0.5025,0.0,0.0,0.0,0.0,0.0
0.46425,4.0,0.0,0.0,0.0,0.0
0.3869999999999999,4.0,0.0,0.0,1.0,0.0
0.5002499999999999,1.0,0.0,0.0,0.0,0.0
0.5182499999999999,0.0,0.0,0.0,0.0,0.0
0.39299999999999996,2.0,0.0,0.0,1.0,1.0
0.34124999999999994,3.0,0.0,0.0,2.0,0.0
0.5115,2.0,0.0,0.0,0.0,0.0
0.5069999999999999,2.0,0.0,0.0,0.0,0.0
0.2682499999999999,1.0,1.0,0.0,0.0,0.0
0.4912499999999999,1.0,0.0,0.0,0.0,0.0
0.49125,2.0,0.0,0.0,0.0,0.0
0.5182499999999999,2.0,0.0,0.0,0.0,0.0
0.5047499999999999,0.0,0.0,0.0,0.0,0.0
0.39824999999999994,5.0,0.0,0.0,1.0,0.0
0.3142499999999999,4.0,0.0,0.0,2.0,0.0
0.5025,2.0,0.0,0.0,0.0,0.0
0.4777499999999999,5.0,0.0,0.0,0.0,0.0
0.23699999999999993,6.0,0.0,0.0,3.0,0.0
0.5069999999999999,2.0,0.0,0.0,0.0,0.0
0.45224999999999993,2.0,0.0,0.0,0.0,1.0
