avg_ut,avg_ut_speed,avg_ut_in,avg_ut_out,n_accidents,n_fat_in,n_fat_out,n_inj_in,n_inj_out,trip_duration,crashes,skids
0.17930000000000001,1.434,-0.48,-0.13,26.0,0.0,1.0,16.0,1.0,397.93076004775173,0.0,4.0
0.2916,1.476,-0.36,0.0,26.0,0.0,0.0,12.0,0.0,390.32006245121,2.0,3.0
0.17210000000000003,1.4925,0.0,-0.16,23.0,0.0,1.0,0.0,2.0,390.32006245121,3.0,0.0
0.033900000000000104,1.485,-0.24,-0.33,26.0,0.0,3.0,8.0,1.0,388.34951456310677,3.0,2.0
0.3048,1.536,-0.24,0.0,20.0,0.0,0.0,8.0,0.0,385.8024691358025,1.0,2.0
0.2841,1.4385,-0.36,0.0,30.0,0.0,0.0,12.0,0.0,392.31071008238524,2.0,3.0
0.2955,1.4775,0.0,0.0,24.0,0.0,0.0,0.0,0.0,391.08330074305826,2.0,0.0
0.30090000000000006,1.5165,-0.24,0.0,20.0,0.0,0.0,8.0,0.0,389.25652004671076,1.0,2.0
0.2667,1.47,-0.36,-0.03,33.0,0.0,0.0,12.0,1.0,384.02457757296463,2.0,3.0
0.2694,1.4835,-0.36,-0.03,25.0,0.0,0.0,12.0,1.0,387.8975950349108,0.0,3.0
0.1895,1.467,-0.12,-0.13,25.0,0.0,1.0,4.0,1.0,392.15686274509807,2.0,1.0
0.2189,1.5015,-0.24,-0.1,26.0,0.0,1.0,8.0,0.0,386.24951718810354,2.0,2.0
0.2189,1.5015,-0.24,-0.1,25.0,0.0,1.0,8.0,0.0,386.9969040247678,2.0,2.0
0.18620000000000003,1.4685,-0.48,-0.13,22.0,0.0,1.0,16.0,1.0,395.88281868566906,2.0,4.0
0.3044,1.539,-0.34,0.0,21.0,1.0,0.0,8.0,0.0,385.2080123266564,2.0,2.0
0.20570000000000002,1.542,0.0,-0.13,20.0,0.0,1.0,0.0,1.0,384.7633705271258,1.0,0.0
0.1826,1.4385,-0.24,-0.13,29.0,0.0,1.0,8.0,1.0,392.00313602508817,3.0,2.0
0.2709,1.497,-0.48,-0.03,26.0,0.0,0.0,16.0,1.0,385.95137012736393,0.0,4.0
0.19049999999999995,1.4505,-0.48,-0.12,30.0,0.0,0.0,16.0,4.0,390.01560062402496,2.0,4.0
0.285,1.5435,0.0,-0.03,19.0,0.0,0.0,0.0,1.0,386.69760247486465,4.0,0.0
0.18880000000000002,1.473,-0.31,-0.13,28.0,1.0,1.0,7.0,1.0,389.4080996884735,5.0,2.0
0.3144,1.572,0.0,0.0,21.0,0.0,0.0,0.0,0.0,378.21482602118,5.0,0.0
0.21380000000000007,1.482,-0.36,-0.1,25.0,0.0,1.0,12.0,0.0,391.23630672926447,1.0,3.0
0.2139,1.449,-0.48,-0.09,24.0,0.0,0.0,16.0,3.0,396.5107057890563,2.0,4.0
0.2871,1.443,-0.15,0.0,30.0,0.0,0.0,5.0,0.0,392.31071008238524,3.0,1.0
0.2775,1.506,0.0,-0.03,18.0,0.0,0.0,0.0,1.0,393.23633503735743,1.0,0.0
0.2433,1.467,-0.27,-0.06,32.0,0.0,0.0,9.0,2.0,385.0596842510589,2.0,2.0
0.2799,1.524,-0.12,-0.03,20.0,0.0,0.0,4.0,1.0,387.5968992248062,1.0,1.0
0.2922,1.5795,0.0,-0.03,14.0,0.0,0.0,0.0,1.0,384.7633705271258,0.0,0.0
0.30330000000000007,1.5165,0.0,0.0,21.0,0.0,0.0,0.0,0.0,387.4467260751647,0.0,0.0
0.29190000000000005,1.4775,-0.36,0.0,21.0,0.0,0.0,12.0,0.0,394.4773175542406,2.0,3.0
0.3039,1.5255,-0.12,0.0,21.0,0.0,0.0,4.0,0.0,386.69760247486465,1.0,1.0
0.19010000000000005,1.482,-0.36,-0.13,26.0,0.0,1.0,12.0,1.0,388.651379712398,3.0,3.0
0.2427,1.4625,-0.24,-0.06,27.0,0.0,0.0,8.0,2.0,391.38943248532286,2.0,2.0
0.31289999999999996,1.572,-0.15,0.0,18.0,0.0,0.0,5.0,0.0,382.262996941896,2.0,1.0
0.13150000000000006,1.4535,-0.12,-0.2,28.0,0.0,2.0,4.0,0.0,390.93041438623925,2.0,1.0
0.2558,1.5315,-0.31,-0.06,19.0,1.0,0.0,7.0,2.0,387.8975950349108,2.0,2.0
0.2814,1.5315,-0.12,-0.03,21.0,0.0,0.0,4.0,1.0,385.95137012736393,2.0,1.0
0.26880000000000004,1.4805,-0.36,-0.03,24.0,0.0,0.0,12.0,1.0,392.61876717707105,3.0,3.0
0.26389999999999997,1.455,-0.34,-0.03,22.0,1.0,0.0,8.0,1.0,397.93076004775173,2.0,2.0
0.2487,1.4925,-0.24,-0.06,28.0,0.0,0.0,8.0,2.0,385.0596842510589,1.0,2.0
0.20480000000000007,1.437,-0.36,-0.1,28.0,0.0,1.0,12.0,0.0,394.0110323089047,0.0,3.0
0.3078,1.545,-0.12,0.0,20.0,0.0,0.0,4.0,0.0,384.7633705271258,1.0,1.0
0.2682,1.4655,-0.12,-0.03,32.0,0.0,0.0,4.0,1.0,385.6536829926726,1.0,1.0
0.31920000000000004,1.602,-0.12,0.0,12.0,0.0,0.0,4.0,0.0,382.40917782026764,1.0,1.0
0.2588,1.434,-0.43,-0.03,30.0,1.0,0.0,11.0,1.0,394.63299131807423,1.0,3.0
0.13810000000000003,1.4925,-0.24,-0.2,22.0,0.0,2.0,8.0,0.0,389.8635477582846,1.0,2.0
