avg_ut,n_accidents,n_fat_in,n_fat_out,n_inj_in,n_inj_out,trip_duration,crashes,skids
0.34425,21.0,0.0,0.0,1.0,1.0,384.1721091048789,0.0,2.0
0.355125,27.0,0.0,0.0,0.0,1.0,386.3987635239567,0.0,1.0
0.384375,26.0,0.0,0.0,0.0,0.0,382.40917782026764,0.0,3.0
0.264375,35.0,0.0,1.0,1.0,0.0,388.34951456310677,0.0,3.0
0.321375,21.0,1.0,0.0,0.0,0.0,379.79491074819595,0.0,5.0
0.33525,26.0,0.0,0.0,0.0,2.0,385.2080123266564,0.0,0.0
0.26025,24.0,0.0,1.0,1.0,1.0,386.3987635239567,0.0,2.0
0.313125,17.0,0.0,1.0,0.0,0.0,390.167772142021,0.0,1.0
0.375,33.0,0.0,0.0,0.0,0.0,382.40917782026764,0.0,2.0
0.33825,26.0,0.0,0.0,1.0,1.0,382.11692777990066,0.0,4.0
0.338625,28.0,0.0,0.0,0.0,2.0,381.53376573826785,0.0,4.0
0.382875,18.0,0.0,0.0,0.0,0.0,391.23630672926447,0.0,1.0
0.3765,20.0,0.0,0.0,0.0,1.0,379.07505686125853,0.0,2.0
0.30975,23.0,0.0,1.0,0.0,0.0,385.2080123266564,0.0,0.0
0.346875,27.0,0.0,0.0,0.0,1.0,390.93041438623925,0.0,3.0
0.2775,32.0,0.0,1.0,1.0,0.0,382.99502106472613,0.0,3.0
0.364125,20.0,0.0,0.0,0.0,1.0,387.2966692486445,0.0,2.0
0.35475,26.0,0.0,0.0,0.0,1.0,388.04811796662784,0.0,2.0
0.361875,19.0,0.0,0.0,0.0,1.0,389.71161340607955,0.0,1.0
0.293625,23.0,0.0,1.0,0.0,1.0,380.95238095238096,0.0,1.0
0.385125,26.0,0.0,0.0,0.0,0.0,382.5554705432288,0.0,1.0
0.1965,35.0,0.0,1.0,2.0,2.0,389.8635477582846,0.0,4.0
0.157875,25.0,0.0,2.0,1.0,2.0,389.8635477582846,0.0,2.0
0.314625,28.0,0.0,0.0,2.0,1.0,382.40917782026764,0.0,1.0
0.3345,22.0,0.0,0.0,0.0,2.0,390.167772142021,0.0,2.0
0.320625,30.0,0.0,0.0,0.0,3.0,375.5163349605708,0.0,2.0
0.297,35.0,1.0,0.0,0.0,0.0,381.53376573826785,0.0,4.0
0.39375,18.0,0.0,0.0,0.0,0.0,384.46751249519417,0.0,1.0
0.29175,33.0,1.0,0.0,0.0,0.0,386.9969040247678,0.0,2.0
0.351,32.0,0.0,0.0,0.0,1.0,384.9114703618168,0.0,1.0
0.211125,37.0,0.0,1.0,1.0,2.0,391.84952978056424,0.0,2.0
0.388125,22.0,0.0,0.0,0.0,0.0,384.9114703618168,0.0,2.0
0.362625,24.0,0.0,0.0,1.0,0.0,384.1721091048789,0.0,1.0
0.337125,24.0,0.0,0.0,0.0,2.0,386.1003861003861,0.0,1.0
0.36225,21.0,0.0,0.0,0.0,1.0,387.5968992248062,0.0,3.0
0.2835,18.0,0.0,0.0,1.0,4.0,382.5554705432288,0.0,1.0
0.32025,18.0,0.0,1.0,0.0,0.0,384.02457757296463,0.0,2.0
0.307125,31.0,1.0,0.0,0.0,0.0,378.21482602118,0.0,4.0
0.253875,30.0,0.0,1.0,1.0,1.0,385.2080123266564,0.0,4.0
0.3105,30.0,0.0,1.0,0.0,0.0,377.7861730260673,0.0,1.0
0.366,25.0,0.0,0.0,0.0,1.0,380.08361839604714,0.0,2.0
0.26925,31.0,0.0,1.0,1.0,0.0,390.01560062402496,0.0,2.0
0.354375,27.0,0.0,0.0,0.0,1.0,386.1003861003861,0.0,2.0
0.340125,23.0,0.0,0.0,1.0,1.0,385.35645472061657,0.0,3.0
0.32175,16.0,0.0,1.0,0.0,0.0,384.46751249519417,0.0,0.0
0.340125,22.0,0.0,0.0,0.0,2.0,386.5481252415926,0.0,2.0
0.3435,24.0,0.0,0.0,0.0,2.0,380.95238095238096,0.0,1.0
0.384375,28.0,0.0,0.0,0.0,0.0,379.65072133637057,0.0,1.0
0.29175,22.0,1.0,0.0,1.0,0.0,382.99502106472613,0.0,4.0
0.383625,19.0,0.0,0.0,0.0,0.0,389.8635477582846,0.0,2.0
0.28125,30.0,0.0,1.0,1.0,0.0,382.11692777990066,0.0,2.0
0.332625,29.0,0.0,0.0,0.0,2.0,384.02457757296463,0.0,3.0
0.24975,32.0,0.0,1.0,0.0,2.0,387.1467286101432,0.0,4.0
0.323625,31.0,0.0,0.0,0.0,2.0,388.34951456310677,0.0,1.0
0.3765,28.0,0.0,0.0,0.0,0.0,386.9969040247678,0.0,2.0
0.376875,27.0,0.0,0.0,0.0,0.0,387.7471888328809,0.0,2.0
0.32475,18.0,0.0,0.0,1.0,2.0,384.7633705271258,0.0,2.0
0.324375,29.0,0.0,0.0,0.0,2.0,391.23630672926447,0.0,1.0
0.288,25.0,0.0,1.0,1.0,0.0,382.40917782026764,0.0,2.0
0.361125,28.0,0.0,0.0,0.0,1.0,380.8073115003808,0.0,2.0
0.3615,23.0,0.0,0.0,0.0,1.0,386.9969040247678,0.0,3.0
0.361125,33.0,0.0,0.0,0.0,1.0,376.2227238525207,0.0,5.0
0.2775,29.0,1.0,0.0,0.0,1.0,386.3987635239567,0.0,1.0
0.27525,24.0,0.0,1.0,0.0,1.0,393.0817610062893,0.0,1.0
0.36525,20.0,0.0,0.0,1.0,0.0,386.24951718810354,0.0,4.0
0.387375,27.0,0.0,0.0,0.0,0.0,380.2281368821293,0.0,1.0
0.386625,26.0,0.0,0.0,0.0,0.0,381.24285169653064,0.0,2.0
0.39525,20.0,0.0,0.0,0.0,0.0,382.262996941896,0.0,0.0
0.262875,31.0,0.0,1.0,1.0,0.0,394.63299131807423,0.0,1.0
0.297,31.0,0.0,1.0,0.0,0.0,386.5481252415926,0.0,1.0
0.30975,27.0,0.0,0.0,1.0,2.0,386.69760247486465,0.0,2.0
0.35025,32.0,0.0,0.0,1.0,0.0,384.9114703618168,0.0,3.0
0.252375,26.0,0.0,1.0,0.0,2.0,390.4724716907458,0.0,0.0
0.283875,29.0,0.0,1.0,0.0,1.0,381.24285169653064,0.0,0.0
0.393,22.0,0.0,0.0,0.0,0.0,380.517503805175,0.0,3.0
0.336,27.0,0.0,0.0,0.0,2.0,384.02457757296463,0.0,2.0
0.377625,19.0,0.0,0.0,0.0,1.0,379.3626707132018,0.0,3.0
0.297375,16.0,0.0,1.0,0.0,1.0,385.95137012736393,0.0,2.0
0.307875,28.0,0.0,0.0,0.0,3.0,386.5481252415926,0.0,1.0
0.36825,21.0,0.0,0.0,1.0,0.0,383.43558282208585,0.0,2.0
0.319875,16.0,0.0,1.0,0.0,0.0,385.8024691358025,0.0,1.0
0.308625,24.0,0.0,1.0,0.0,0.0,385.0596842510589,0.0,1.0
0.36675,19.0,0.0,0.0,0.0,1.0,386.3987635239567,0.0,1.0
0.3915,19.0,0.0,0.0,0.0,0.0,384.9114703618168,0.0,2.0
0.2445,38.0,1.0,0.0,1.0,1.0,383.5826620636747,0.0,5.0
0.366,24.0,0.0,0.0,0.0,1.0,381.8251240931653,0.0,3.0
0.381375,26.0,0.0,0.0,0.0,0.0,385.50501156515037,0.0,2.0
0.313875,22.0,0.0,0.0,0.0,3.0,389.25652004671076,0.0,1.0
0.3525,28.0,0.0,0.0,0.0,1.0,387.7471888328809,0.0,1.0
0.28125,29.0,0.0,1.0,0.0,1.0,383.28861632809503,0.0,3.0
0.3165,27.0,0.0,0.0,0.0,3.0,381.38825324180016,0.0,3.0
0.36075,23.0,0.0,0.0,0.0,1.0,386.84719535783364,0.0,6.0
0.357,26.0,0.0,0.0,0.0,1.0,385.8024691358025,0.0,1.0
0.358875,29.0,0.0,0.0,0.0,1.0,381.8251240931653,0.0,1.0
0.315,19.0,0.0,1.0,0.0,0.0,386.5481252415926,0.0,1.0
0.358875,30.0,0.0,0.0,0.0,1.0,380.8073115003808,0.0,3.0
0.283125,24.0,0.0,1.0,0.0,1.0,388.04811796662784,0.0,5.0
0.30825,23.0,0.0,1.0,0.0,0.0,385.8024691358025,0.0,2.0
0.16125,21.0,1.0,2.0,0.0,0.0,386.3987635239567,0.0,2.0
0.36,25.0,0.0,0.0,0.0,1.0,384.31975403535745,0.0,1.0
0.35475,29.0,0.0,0.0,0.0,1.0,384.46751249519417,0.0,1.0
0.391125,20.0,0.0,0.0,0.0,0.0,383.7298541826554,0.0,3.0
