avg_ut,n_accidents,n_fat_in,n_fat_out,n_inj_in,n_inj_out,trip_duration,crashes,skids
0.8345,20.0,0.0,0.0,0.0,1.0,171.46776406035667,0.0,1.0
0.814,15.0,0.0,1.0,0.0,3.0,169.4915254237288,0.0,0.0
0.79,20.0,0.0,1.0,1.0,0.0,171.23287671232876,0.0,3.0
0.8495,13.0,0.0,0.0,1.0,3.0,169.37669376693768,0.0,0.0
0.8125,20.0,0.0,1.0,0.0,1.0,168.91891891891893,0.0,1.0
0.7475,27.0,0.0,0.0,2.0,2.0,170.9986320109439,0.0,1.0
0.8255,22.0,0.0,0.0,0.0,1.0,170.64846416382252,0.0,2.0
0.8195,20.0,0.0,0.0,1.0,2.0,169.37669376693768,0.0,1.0
0.902,14.0,0.0,0.0,0.0,0.0,168.8048615800135,0.0,0.0
0.8435,19.0,0.0,0.0,0.0,2.0,169.37669376693768,0.0,0.0
0.8045,22.0,0.0,0.0,2.0,1.0,168.91891891891893,0.0,0.0
0.7925,22.0,0.0,0.0,2.0,1.0,170.53206002728513,0.0,1.0
0.7945,21.0,0.0,1.0,0.0,1.0,170.53206002728513,0.0,2.0
0.839,18.0,0.0,0.0,0.0,3.0,168.91891891891893,0.0,0.0
0.8135,25.0,0.0,0.0,0.0,1.0,170.29972752043597,0.0,2.0
0.8255,17.0,0.0,0.0,0.0,3.0,171.7032967032967,0.0,2.0
0.747,25.0,0.0,2.0,0.0,0.0,169.83695652173913,0.0,1.0
0.875,18.0,0.0,0.0,0.0,0.0,169.26201760324983,0.0,2.0
0.7775,22.0,0.0,0.0,0.0,5.0,171.11567419575633,0.0,0.0
0.797,23.0,0.0,0.0,0.0,3.0,170.76502732240436,0.0,3.0
0.6895,27.0,1.0,1.0,1.0,1.0,169.26201760324983,0.0,0.0
0.866,17.0,0.0,0.0,0.0,0.0,171.23287671232876,0.0,0.0
0.869,14.0,0.0,0.0,1.0,0.0,170.76502732240436,0.0,0.0
0.8315,21.0,0.0,0.0,0.0,1.0,170.88174982911823,0.0,2.0
