avg_ut,n_accidents,n_fat_in,n_fat_out,n_inj_in,n_inj_out,trip_duration,crashes,skids
0.1231,11.0,0.0,0.0,0.0,0.0,223.61359570661895,0.0,1.0
0.1351,7.0,0.0,0.0,0.0,0.0,217.20243266724586,0.0,4.0
0.1459,2.0,0.0,0.0,0.0,0.0,210.61499578770008,0.0,0.0
0.13779999999999998,6.0,0.0,0.0,0.0,0.0,216.45021645021646,0.0,0.0
0.13839999999999997,6.0,0.0,0.0,0.0,0.0,215.51724137931035,0.0,2.0
0.1348,7.0,0.0,0.0,0.0,0.0,215.70319240724763,0.0,2.0
0.13419999999999999,6.0,0.0,0.0,0.0,0.0,220.0704225352113,0.0,1.0
0.1267,9.0,0.0,0.0,0.0,0.0,222.8163992869875,0.0,2.0
0.1309,8.0,0.0,0.0,0.0,0.0,219.2982456140351,0.0,2.0
0.13269999999999998,7.0,0.0,0.0,0.0,0.0,218.91418563922943,0.0,2.0
0.1243,10.0,0.0,0.0,0.0,0.0,224.61814914645103,0.0,4.0
0.1363,8.0,0.0,0.0,0.0,0.0,215.1462994836489,0.0,1.0
0.13539999999999996,5.0,0.0,0.0,0.0,0.0,219.2982456140351,0.0,2.0
0.13269999999999998,11.0,0.0,0.0,0.0,0.0,215.51724137931035,0.0,1.0
0.1423,2.0,0.0,0.0,0.0,0.0,215.70319240724763,0.0,0.0
-0.024599999999999993,10.0,0.0,1.0,0.0,0.0,211.32713440405746,0.0,3.0
0.1321,8.0,0.0,0.0,0.0,0.0,218.34061135371178,0.0,1.0
0.1336,5.0,0.0,0.0,0.0,0.0,220.0704225352113,0.0,2.0
0.0886,3.0,0.0,0.0,0.0,1.0,221.04332449160034,0.0,0.0
0.08259999999999999,11.0,0.0,0.0,0.0,1.0,216.26297577854672,0.0,2.0
0.12819999999999998,4.0,0.0,0.0,0.0,0.0,229.5684113865932,0.0,1.0
0.1366,1.0,0.0,0.0,0.0,0.0,223.2142857142857,0.0,0.0
0.13119999999999998,9.0,0.0,0.0,0.0,0.0,220.0704225352113,0.0,3.0
0.1261,7.0,0.0,0.0,0.0,0.0,226.0397830018083,0.0,1.0
0.13510000000000003,6.0,0.0,0.0,0.0,0.0,218.34061135371178,0.0,1.0
0.1055,9.0,1.0,0.0,0.0,0.0,224.2152466367713,0.0,3.0
0.13960000000000003,6.0,0.0,0.0,0.0,0.0,213.4927412467976,0.0,1.0
0.1276,10.0,0.0,0.0,0.0,0.0,223.41376228775692,0.0,2.0
0.13240000000000002,3.0,0.0,0.0,0.0,0.0,225.42831379621282,0.0,0.0
0.1354,7.0,0.0,0.0,0.0,0.0,216.8256721595837,0.0,0.0
0.13870000000000002,6.0,0.0,0.0,0.0,0.0,214.041095890411,0.0,0.0
0.12819999999999998,5.0,0.0,0.0,0.0,0.0,226.65457842248415,0.0,0.0
0.1375,6.0,0.0,0.0,0.0,0.0,216.26297577854672,0.0,1.0
0.1351,8.0,0.0,0.0,0.0,0.0,215.70319240724763,0.0,2.0
0.1276,10.0,0.0,0.0,0.0,0.0,221.6312056737589,0.0,3.0
0.1372,6.0,0.0,0.0,0.0,0.0,215.1462994836489,0.0,2.0
0.13269999999999998,5.0,0.0,0.0,0.0,0.0,223.2142857142857,0.0,3.0
0.12459999999999999,10.0,0.0,0.0,0.0,0.0,226.2443438914027,0.0,2.0
0.1294,5.0,0.0,0.0,0.0,0.0,225.83559168925024,0.0,0.0
0.1288,7.0,0.0,0.0,0.0,0.0,223.81378692927484,0.0,3.0
0.0841,10.0,0.0,0.0,0.0,1.0,216.8256721595837,0.0,1.0
0.13090000000000002,7.0,0.0,0.0,0.0,0.0,222.22222222222223,0.0,1.0
0.13360000000000002,6.0,0.0,0.0,0.0,0.0,219.2982456140351,0.0,0.0
0.1354,4.0,0.0,0.0,0.0,0.0,221.43489813994685,0.0,0.0
0.12129999999999999,11.0,0.0,0.0,0.0,0.0,227.47952684258416,0.0,2.0
0.1405,6.0,0.0,0.0,0.0,0.0,212.04410517387615,0.0,0.0
0.07959999999999999,12.0,0.0,0.0,0.0,1.0,219.2982456140351,0.0,4.0
0.1234,8.0,0.0,0.0,0.0,0.0,228.72827081427266,0.0,1.0
0.1423,2.0,0.0,0.0,0.0,0.0,215.51724137931035,0.0,0.0
0.127,6.0,0.0,0.0,0.0,0.0,227.0663033605813,0.0,0.0
0.127,8.0,0.0,0.0,0.0,0.0,224.41651705565528,0.0,3.0
0.1336,5.0,0.0,0.0,0.0,0.0,221.23893805309737,0.0,1.0
-0.026999999999999965,6.0,0.0,1.0,0.0,0.0,220.8480565371025,0.0,1.0
0.11980000000000002,11.0,0.0,0.0,0.0,0.0,228.93772893772893,0.0,3.0
0.1285,8.0,0.0,0.0,0.0,0.0,222.6179875333927,0.0,1.0
0.1399,6.0,0.0,0.0,0.0,0.0,212.94718909710394,0.0,2.0
0.1255,7.0,0.0,0.0,0.0,0.0,227.47952684258416,0.0,1.0
0.12940000000000002,5.0,0.0,0.0,0.0,0.0,226.44927536231882,0.0,0.0
0.1279,7.0,0.0,0.0,0.0,0.0,224.61814914645103,0.0,3.0
0.1085,8.0,1.0,0.0,0.0,0.0,223.81378692927484,0.0,3.0
0.1345,3.0,0.0,0.0,0.0,0.0,223.01516503122212,0.0,0.0
0.1261,7.0,0.0,0.0,0.0,0.0,227.47952684258416,0.0,2.0
0.1402,8.0,0.0,0.0,0.0,0.0,210.97046413502107,0.0,2.0
0.1315,6.0,0.0,0.0,0.0,0.0,222.22222222222223,0.0,1.0
0.1225,12.0,0.0,0.0,0.0,0.0,223.61359570661895,0.0,2.0
0.1276,13.0,0.0,0.0,0.0,0.0,218.15008726003492,0.0,0.0
0.14110000000000003,4.0,0.0,0.0,0.0,0.0,214.96130696474634,0.0,0.0
0.121,8.0,0.0,0.0,0.0,0.0,231.48148148148147,0.0,2.0
0.12940000000000002,6.0,0.0,0.0,0.0,0.0,224.61814914645103,0.0,1.0
-0.031199999999999974,9.0,0.0,1.0,0.0,0.0,221.82786157941436,0.0,0.0
0.13510000000000003,7.0,0.0,0.0,0.0,0.0,216.26297577854672,0.0,3.0
0.1285,11.0,0.0,0.0,0.0,0.0,219.1060473269062,0.0,2.0
-0.029399999999999992,8.0,0.0,1.0,0.0,0.0,220.6531332744925,0.0,2.0
0.1357,4.0,0.0,0.0,0.0,0.0,219.8768689533861,0.0,2.0
0.133,12.0,0.0,0.0,0.0,0.0,212.7659574468085,0.0,1.0
0.13119999999999998,10.0,0.0,0.0,0.0,0.0,216.26297577854672,0.0,2.0
0.13269999999999998,8.0,0.0,0.0,0.0,0.0,217.7700348432056,0.0,2.0
-0.04290000000000001,13.0,0.0,1.0,0.0,0.0,228.31050228310502,0.0,2.0
0.12940000000000002,7.0,0.0,0.0,0.0,0.0,222.8163992869875,0.0,2.0
0.12040000000000001,11.0,0.0,0.0,0.0,0.0,227.89425706472198,0.0,1.0
0.1234,12.0,0.0,0.0,0.0,0.0,224.0143369175627,0.0,0.0
0.133,3.0,0.0,0.0,0.0,0.0,225.83559168925024,0.0,0.0
0.1378,6.0,0.0,0.0,0.0,0.0,214.22450728363324,0.0,2.0
-0.0647,18.0,1.0,1.0,0.0,0.0,224.0143369175627,0.0,3.0
0.14020000000000002,5.0,0.0,0.0,0.0,0.0,214.77663230240552,0.0,0.0
-0.024299999999999967,4.0,0.0,1.0,0.0,0.0,220.45855379188714,0.0,0.0
0.12879999999999997,7.0,0.0,0.0,0.0,0.0,223.01516503122212,0.0,2.0
0.1306,4.0,0.0,0.0,1.0,0.0,218.72265966754156,0.0,2.0
0.1249,8.0,0.0,0.0,0.0,0.0,227.0663033605813,0.0,3.0
0.124,9.0,0.0,0.0,0.0,0.0,226.0397830018083,0.0,1.0
0.12519999999999998,7.0,0.0,0.0,0.0,0.0,228.72827081427266,0.0,0.0
0.1345,4.0,0.0,0.0,0.0,0.0,221.23893805309737,0.0,0.0
