avg_ut,n_accidents,n_fat_in,n_fat_out,n_inj_in,n_inj_out,trip_duration,crashes,skids
0.4637999999999999,17.0,0.0,0.0,0.0,2.0,176.80339462517682,0.0,1.0
0.4889999999999999,14.0,0.0,0.0,0.0,1.0,177.5568181818182,0.0,0.0
0.4961999999999999,17.0,0.0,0.0,0.0,0.0,177.68301350390902,0.0,1.0
0.4610999999999999,18.0,0.0,0.0,0.0,2.0,176.3046544428773,0.0,1.0
0.41369999999999996,19.0,0.0,0.0,1.0,3.0,176.42907551164433,0.0,0.0
0.5025,15.0,0.0,0.0,0.0,0.0,177.43080198722498,0.0,1.0
0.4961999999999999,15.0,0.0,0.0,0.0,1.0,174.9475157452764,0.0,0.0
0.43679999999999997,20.0,0.0,0.0,0.0,2.0,181.02824040550325,0.0,0.0
0.3913,12.0,1.0,0.0,1.0,1.0,177.80938833570414,0.0,2.0
0.4880999999999999,19.0,0.0,0.0,0.0,0.0,177.9359430604982,0.0,2.0
0.3693999999999999,13.0,1.0,0.0,0.0,3.0,179.3400286944046,0.0,0.0
0.43979999999999997,17.0,0.0,0.0,1.0,2.0,176.67844522968198,0.0,1.0
0.4820999999999999,13.0,0.0,0.0,1.0,0.0,178.3166904422254,0.0,0.0
0.4943999999999999,19.0,0.0,0.0,0.0,0.0,175.93244194229416,0.0,1.0
0.4334999999999999,18.0,0.0,1.0,0.0,0.0,177.5568181818182,0.0,1.0
0.48989999999999995,14.0,0.0,0.0,0.0,1.0,176.92852087756546,0.0,0.0
0.4488,12.0,0.0,1.0,0.0,0.0,178.826895565093,0.0,0.0
0.5025,12.0,0.0,0.0,0.0,1.0,175.8087201125176,0.0,0.0
0.5034,15.0,0.0,0.0,0.0,0.0,177.5568181818182,0.0,1.0
0.414,15.0,0.0,1.0,1.0,0.0,178.9549033643522,0.0,1.0
0.49889999999999984,19.0,0.0,0.0,0.0,0.0,174.70300489168412,0.0,0.0
0.37139999999999995,20.0,0.0,1.0,0.0,3.0,177.3049645390071,0.0,0.0
0.3801999999999999,22.0,1.0,0.0,0.0,1.0,177.05382436260624,0.0,1.0
0.5069999999999999,13.0,0.0,0.0,0.0,0.0,178.06267806267806,0.0,0.0
0.5033999999999998,13.0,0.0,0.0,0.0,1.0,174.82517482517483,0.0,0.0
0.39749999999999996,20.0,0.0,1.0,0.0,1.0,180.11527377521614,0.0,2.0
0.43679999999999997,27.0,0.0,0.0,0.0,1.0,179.21146953405017,0.0,0.0
0.46919999999999995,22.0,0.0,0.0,0.0,1.0,175.0700280112045,0.0,0.0
0.48089999999999994,16.0,0.0,0.0,0.0,1.0,177.80938833570414,0.0,0.0
0.4245,16.0,0.0,1.0,0.0,1.0,176.42907551164433,0.0,1.0
0.4925999999999999,17.0,0.0,0.0,0.0,0.0,178.3166904422254,0.0,2.0
0.3839999999999999,14.0,0.0,1.0,0.0,4.0,175.0700280112045,0.0,0.0
0.3735,18.0,0.0,2.0,0.0,0.0,177.3049645390071,0.0,1.0
0.47279999999999994,19.0,0.0,0.0,0.0,1.0,176.80339462517682,0.0,1.0
0.47369999999999995,17.0,0.0,0.0,0.0,1.0,178.826895565093,0.0,0.0
