avg_ut,n_accidents,n_fat_in,n_fat_out,n_inj_in,n_inj_out,trip_duration,crashes,skids
1.1495,23.0,0.0,1.0,0.0,4.0,168.12373907195695,0.0,0.0
1.2241999999999997,16.0,0.0,1.0,0.0,1.0,168.23687752355318,0.0,0.0
1.0461999999999998,31.0,1.0,1.0,0.0,3.0,168.35016835016833,1.0,1.0
1.2859,11.0,0.0,0.0,0.0,0.0,168.91891891891893,0.0,1.0
1.1512,24.0,0.0,0.0,1.0,4.0,167.78523489932886,0.0,1.0
1.144,26.0,0.0,0.0,0.0,3.0,168.69095816464238,0.0,0.0
1.2172,18.0,0.0,0.0,0.0,2.0,168.8048615800135,0.0,0.0
1.1941,21.0,0.0,0.0,0.0,2.0,168.46361185983827,0.0,0.0
1.2721999999999998,12.0,0.0,1.0,0.0,0.0,167.44809109176154,0.0,1.0
1.2284000000000002,16.0,0.0,1.0,0.0,1.0,167.897918065816,0.0,1.0
1.24,17.0,0.0,0.0,0.0,1.0,167.897918065816,0.0,0.0
1.2574,13.0,0.0,0.0,0.0,3.0,168.23687752355318,0.0,0.0
1.24,15.0,0.0,0.0,0.0,1.0,169.606512890095,0.0,1.0
1.1218000000000001,27.0,0.0,0.0,0.0,6.0,168.35016835016833,1.0,1.0
1.2574,13.0,0.0,0.0,0.0,3.0,168.35016835016833,1.0,0.0
1.2442,16.0,0.0,0.0,0.0,1.0,168.35016835016833,0.0,0.0
1.2544,16.0,0.0,0.0,0.0,0.0,167.897918065816,0.0,2.0
1.1507,25.0,0.0,1.0,0.0,1.0,168.12373907195695,0.0,0.0
1.1268000000000002,24.0,0.0,2.0,0.0,2.0,168.8048615800135,1.0,0.0
1.1856999999999998,20.0,0.0,0.0,0.0,2.0,170.29972752043597,1.0,2.0
1.2381999999999997,16.0,0.0,0.0,0.0,2.0,168.35016835016833,0.0,1.0
1.1691999999999998,22.0,0.0,0.0,0.0,3.0,169.606512890095,0.0,1.0
1.2090999999999998,19.0,0.0,0.0,0.0,3.0,168.12373907195695,1.0,1.0
1.1341,25.0,0.0,0.0,2.0,1.0,169.37669376693768,0.0,1.0
1.1884000000000001,20.0,0.0,0.0,0.0,4.0,168.69095816464238,0.0,0.0
1.0984,28.0,0.0,0.0,0.0,5.0,170.41581458759373,0.0,1.0
1.1542000000000001,25.0,0.0,0.0,0.0,2.0,169.26201760324983,0.0,1.0
1.2133,18.0,0.0,0.0,0.0,3.0,168.5772083614295,1.0,0.0
1.1989,19.0,0.0,0.0,0.0,4.0,168.35016835016833,0.0,0.0
1.1753,18.0,0.0,1.0,1.0,4.0,168.46361185983827,0.0,0.0
1.1267,24.0,0.0,1.0,1.0,3.0,168.91891891891893,0.0,2.0
1.1648,18.0,0.0,1.0,1.0,4.0,169.37669376693768,0.0,0.0
1.207,19.0,0.0,0.0,0.0,3.0,168.23687752355318,0.0,0.0
1.1422999999999999,25.0,0.0,1.0,0.0,1.0,168.91891891891893,2.0,0.0
1.2076999999999998,18.0,0.0,1.0,0.0,2.0,167.6727028839705,0.0,1.0
1.1,24.0,0.0,1.0,1.0,5.0,170.53206002728513,1.0,1.0
1.2127,20.0,0.0,0.0,0.0,1.0,168.12373907195695,0.0,1.0
1.201,19.0,0.0,0.0,1.0,2.0,168.35016835016833,0.0,1.0
1.2327999999999997,14.0,0.0,0.0,0.0,5.0,168.5772083614295,0.0,0.0
1.0298,34.0,0.0,1.0,1.0,2.0,170.64846416382252,0.0,1.0
1.2235,17.0,0.0,0.0,0.0,2.0,168.91891891891893,0.0,1.0
1.2004000000000001,20.0,0.0,0.0,0.0,2.0,168.69095816464238,0.0,0.0
1.2087999999999999,19.0,0.0,0.0,1.0,0.0,168.69095816464238,0.0,2.0
1.2258999999999998,16.0,0.0,0.0,1.0,1.0,168.91891891891893,0.0,2.0
1.1894,18.0,0.0,1.0,0.0,4.0,168.35016835016833,0.0,0.0
1.142,21.0,0.0,1.0,3.0,1.0,168.69095816464238,0.0,1.0
1.1956999999999998,17.0,0.0,1.0,1.0,2.0,168.35016835016833,0.0,0.0
1.255,14.0,0.0,0.0,0.0,2.0,168.12373907195695,0.0,0.0
1.1339000000000001,26.0,0.0,1.0,0.0,1.0,168.8048615800135,2.0,0.0
1.1521,27.0,0.0,0.0,0.0,2.0,167.5603217158177,0.0,0.0
1.1405,25.0,0.0,1.0,0.0,2.0,168.5772083614295,0.0,1.0
1.1031999999999997,22.0,1.0,1.0,1.0,2.0,169.37669376693768,0.0,4.0
1.2043,20.0,0.0,0.0,0.0,1.0,168.91891891891893,0.0,0.0
1.25,11.0,0.0,1.0,1.0,1.0,168.69095816464238,0.0,0.0
1.288,12.0,0.0,0.0,0.0,0.0,167.78523489932886,0.0,1.0
1.1145,24.0,0.0,2.0,0.0,3.0,169.37669376693768,0.0,1.0
1.1822,21.0,0.0,1.0,0.0,1.0,168.35016835016833,0.0,0.0
1.1625999999999999,25.0,0.0,0.0,0.0,2.0,168.23687752355318,0.0,1.0
1.1593000000000002,22.0,0.0,0.0,1.0,3.0,169.37669376693768,0.0,1.0
1.2365,13.0,0.0,1.0,0.0,0.0,170.18379850238256,0.0,0.0
