avg_ut,n_accidents,n_fat_in,n_fat_out,n_inj_in,n_inj_out,trip_duration,crashes,skids
0.7125,16.0,0.0,1.0,0.0,2.0,176.5536723163842,2.0,2.0
0.741,20.0,0.0,1.0,0.0,0.0,175.8087201125176,0.0,1.0
0.881,10.0,0.0,0.0,0.0,0.0,175.93244194229416,0.0,0.0
0.7805,18.0,0.0,0.0,0.0,2.0,176.5536723163842,0.0,1.0
0.767,21.0,0.0,0.0,0.0,1.0,179.98560115190784,1.0,0.0
0.6945,20.0,0.0,1.0,1.0,2.0,174.70300489168412,0.0,0.0
0.7545,24.0,1.0,0.0,0.0,1.0,175.68517217146874,0.0,0.0
0.8435,14.0,0.0,0.0,0.0,0.0,178.06267806267806,0.0,2.0
0.803,17.0,0.0,0.0,0.0,1.0,177.80938833570414,0.0,1.0
0.7155,25.0,0.0,1.0,0.0,0.0,175.19271198318148,0.0,1.0
0.857,13.0,0.0,0.0,0.0,0.0,176.67844522968198,0.0,0.0
0.732,19.0,0.0,1.0,0.0,1.0,174.33751743375174,0.0,0.0
0.8175,17.0,1.0,0.0,0.0,0.0,176.18040873854827,1.0,1.0
0.701,25.0,0.0,0.0,2.0,3.0,176.80339462517682,1.0,2.0
0.7805,21.0,0.0,0.0,1.0,1.0,176.5536723163842,0.0,2.0
0.768,9.0,0.0,1.0,0.0,2.0,174.45917655268667,0.0,0.0
0.842,18.0,0.0,0.0,0.0,0.0,174.21602787456445,1.0,2.0
0.8375,14.0,0.0,0.0,0.0,1.0,175.19271198318148,0.0,2.0
0.848,13.0,0.0,0.0,0.0,0.0,178.3166904422254,0.0,2.0
0.836,19.0,0.0,0.0,0.0,0.0,174.45917655268667,0.0,1.0
0.857,13.0,0.0,0.0,0.0,0.0,176.80339462517682,1.0,1.0
0.7955,16.0,0.0,0.0,0.0,2.0,176.18040873854827,1.0,1.0
0.851,11.0,0.0,0.0,0.0,1.0,175.8087201125176,0.0,1.0
0.842,15.0,0.0,0.0,1.0,0.0,176.18040873854827,0.0,2.0
0.8375,14.0,0.0,0.0,1.0,0.0,178.06267806267806,1.0,1.0
0.8,14.0,0.0,0.0,0.0,2.0,177.1793054571226,0.0,2.0
0.7955,16.0,0.0,0.0,0.0,1.0,180.11527377521614,0.0,2.0
0.815,16.0,0.0,0.0,0.0,0.0,180.8972503617945,0.0,1.0
0.773,22.0,0.0,0.0,1.0,1.0,176.80339462517682,0.0,1.0
0.848,17.0,0.0,0.0,1.0,0.0,173.49063150589868,0.0,2.0
0.86,14.0,0.0,0.0,0.0,0.0,175.3155680224404,0.0,0.0
0.708,17.0,0.0,1.0,0.0,2.0,176.05633802816902,0.0,1.0
0.815,19.0,0.0,0.0,0.0,0.0,177.80938833570414,0.0,0.0
0.8345,14.0,0.0,0.0,0.0,1.0,175.68517217146874,1.0,2.0
0.7425,16.0,0.0,1.0,0.0,1.0,175.68517217146874,0.0,0.0
0.779,20.0,0.0,0.0,0.0,2.0,174.82517482517483,0.0,1.0
0.794,15.0,0.0,0.0,0.0,2.0,177.1793054571226,0.0,2.0
0.7925,16.0,0.0,0.0,0.0,2.0,176.67844522968198,0.0,1.0
0.8345,16.0,0.0,0.0,0.0,0.0,177.68301350390902,0.0,1.0
0.719,24.0,0.0,0.0,1.0,3.0,175.68517217146874,1.0,0.0
0.827,16.0,0.0,0.0,0.0,1.0,174.70300489168412,0.0,1.0
0.7895,20.0,0.0,0.0,0.0,1.0,177.1793054571226,1.0,3.0
0.773,18.0,0.0,0.0,0.0,2.0,177.80938833570414,0.0,4.0
0.857,13.0,0.0,0.0,0.0,0.0,176.5536723163842,0.0,1.0
0.8495,12.0,0.0,0.0,0.0,1.0,175.19271198318148,0.0,3.0
0.866,10.0,0.0,0.0,1.0,0.0,177.1793054571226,0.0,0.0
0.824,16.0,0.0,0.0,0.0,1.0,175.43859649122805,0.0,2.0
0.8285,16.0,0.0,0.0,1.0,0.0,177.68301350390902,0.0,2.0
0.824,14.0,0.0,0.0,0.0,0.0,181.55410312273057,0.0,4.0
0.735,19.0,0.0,1.0,1.0,0.0,176.80339462517682,1.0,1.0
0.8015,15.0,0.0,0.0,0.0,2.0,176.05633802816902,0.0,2.0
0.815,14.0,0.0,0.0,0.0,2.0,174.82517482517483,0.0,1.0
0.863,11.0,0.0,0.0,0.0,0.0,177.68301350390902,0.0,1.0
0.669,17.0,0.0,1.0,0.0,3.0,178.826895565093,0.0,1.0
0.824,14.0,0.0,0.0,1.0,1.0,176.3046544428773,0.0,1.0
0.7815,14.0,0.0,1.0,0.0,0.0,175.19271198318148,0.0,0.0
0.782,18.0,0.0,0.0,0.0,2.0,176.3046544428773,0.0,1.0
0.7595,21.0,0.0,0.0,0.0,2.0,177.1793054571226,0.0,4.0
0.7425,17.0,1.0,0.0,1.0,2.0,179.46877243359654,0.0,1.0
0.776,21.0,0.0,0.0,0.0,1.0,178.3166904422254,1.0,3.0
0.678,20.0,0.0,1.0,0.0,2.0,178.1895937277263,0.0,3.0
0.794,16.0,0.0,0.0,0.0,2.0,176.42907551164433,0.0,0.0
0.735,18.0,0.0,1.0,0.0,1.0,174.82517482517483,0.0,1.0
0.791,19.0,0.0,0.0,1.0,1.0,176.92852087756546,0.0,0.0
0.723,19.0,0.0,1.0,0.0,1.0,175.93244194229416,0.0,0.0
0.7715,23.0,0.0,0.0,0.0,1.0,177.1793054571226,0.0,2.0
0.794,19.0,0.0,0.0,0.0,1.0,177.43080198722498,0.0,0.0
0.8435,15.0,0.0,0.0,0.0,0.0,177.05382436260624,1.0,1.0
0.791,19.0,0.0,0.0,0.0,1.0,177.80938833570414,0.0,4.0
