avg_ut,n_accidents,n_fat_in,n_fat_out,n_inj_in,n_inj_out,trip_duration,crashes,skids
0.8445,36.0,0.0,0.0,0.0,5.0,337.95201081446436,0.0,1.0
0.75625,49.0,0.0,1.0,0.0,11.0,336.1344537815126,0.0,0.0
0.78,49.0,0.0,0.0,0.0,9.0,338.06626098715344,0.0,1.0
0.80725,42.0,0.0,1.0,0.0,4.0,338.8681802778719,0.0,0.0
0.85425,34.0,0.0,0.0,0.0,4.0,338.409475465313,0.0,1.0
0.83475,34.0,0.0,0.0,1.0,5.0,339.328130302002,0.0,1.0
0.776,44.0,0.0,2.0,0.0,4.0,340.25178632187817,0.0,0.0
0.8005,40.0,0.0,1.0,1.0,6.0,337.0407819346141,0.0,1.0
0.82725,38.0,0.0,0.0,0.0,7.0,337.4957813027337,0.0,0.0
0.8355,37.0,0.0,0.0,0.0,7.0,336.3605785401951,0.0,1.0
0.8685,34.0,0.0,0.0,0.0,2.0,337.609723160027,0.0,0.0
0.782,48.0,0.0,2.0,0.0,2.0,339.097999321804,0.0,0.0
0.80375,42.0,0.0,2.0,0.0,2.0,338.06626098715344,0.0,1.0
0.80925,37.0,0.0,0.0,0.0,10.0,338.29499323410016,0.0,0.0
0.77025,43.0,0.0,3.0,0.0,5.0,336.02150537634407,0.0,0.0
0.813,41.0,0.0,0.0,1.0,5.0,339.44331296673454,0.0,2.0
0.76775,46.0,0.0,2.0,0.0,5.0,339.21302578019,0.0,2.0
0.807,48.0,0.0,0.0,0.0,5.0,338.1805884342239,0.0,0.0
0.82975,39.0,0.0,1.0,0.0,3.0,337.0407819346141,0.0,0.0
0.834,44.0,0.0,0.0,0.0,4.0,335.9086328518643,0.0,0.0
0.80225,38.0,0.0,2.0,0.0,3.0,339.67391304347825,0.0,0.0
0.86175,31.0,0.0,0.0,0.0,5.0,337.26812816188874,0.0,0.0
0.81675,39.0,0.0,0.0,0.0,8.0,337.83783783783787,0.0,0.0
0.82025,36.0,0.0,2.0,0.0,3.0,336.92722371967653,0.0,0.0
0.82525,40.0,0.0,1.0,0.0,3.0,337.609723160027,0.0,0.0
0.86925,35.0,0.0,0.0,0.0,1.0,338.29499323410016,0.0,2.0
0.84975,35.0,0.0,0.0,0.0,4.0,338.63867253640365,0.0,1.0
0.8295,42.0,0.0,0.0,0.0,4.0,338.29499323410016,0.0,0.0
0.72725,49.0,1.0,2.0,0.0,6.0,338.29499323410016,0.0,2.0
0.78275,38.0,1.0,2.0,0.0,2.0,338.63867253640365,0.0,1.0
0.88125,31.0,0.0,0.0,0.0,1.0,338.06626098715344,0.0,0.0
0.7555,44.0,0.0,4.0,0.0,2.0,338.52403520649966,0.0,3.0
0.87525,31.0,0.0,0.0,0.0,3.0,336.92722371967653,0.0,0.0
0.84025,30.0,0.0,1.0,0.0,6.0,336.92722371967653,0.0,0.0
0.81625,33.0,0.0,1.0,0.0,6.0,340.3675970047651,0.0,0.0
0.7835,40.0,0.0,2.0,1.0,5.0,337.83783783783787,0.0,2.0
0.841,31.0,0.0,1.0,0.0,4.0,338.75338753387535,0.0,0.0
0.81225,28.0,0.0,3.0,1.0,2.0,338.8681802778719,0.0,1.0
0.7885,41.0,0.0,1.0,0.0,9.0,337.0407819346141,0.0,1.0
0.77875,48.0,0.0,1.0,0.0,6.0,338.75338753387535,0.0,0.0
0.85875,34.0,0.0,0.0,0.0,4.0,337.38191632928476,0.0,1.0
0.843,40.0,0.0,0.0,0.0,3.0,338.1805884342239,0.0,0.0
0.867,36.0,0.0,0.0,0.0,1.0,338.1805884342239,0.0,1.0
0.8125,43.0,0.0,1.0,0.0,4.0,336.81374200067364,0.0,0.0
0.831,37.0,0.0,0.0,0.0,7.0,337.38191632928476,0.0,0.0
0.81225,43.0,0.0,0.0,0.0,7.0,337.4957813027337,0.0,0.0
0.78725,41.0,0.0,2.0,0.0,5.0,338.06626098715344,0.0,0.0
0.768,41.0,0.0,3.0,0.0,5.0,338.29499323410016,0.0,3.0
